Headline,Day,Published_Date,Published_Region,Timings,Meetings
Madurai Today,Sunday,2019-04-14,TAMIL NADU,"['11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; U. C. Higher Secondary School, West Veli Street, 11 a.m.; R. C. School, Sivaganga Road, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, Lake View Road, K. K. Nagar, and Railway Institute, 7 p.m."
Madurai Today,Saturday,2019-04-13,TAMIL NADU,['7 p.m.']," Anonymous: Meeting; Ahana Hospital, Anna Bus Stand; Quality Care Hospital, Ellis Nagar, and R. C. School, Palanganatham, 7 p.m."
Madurai Today,Wednesday,2019-04-10,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; R. C. Church, Sivaganga Road, Melur, 6.30 p.m.; Prasanna Venkateswara Higher Secondary School; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
Madurai today for April 7,Sunday,2019-04-07,TAMIL NADU,"['11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; U. C. Higher Secondary School, West Veli Street, 11 a.m.; R. C. School, Sivaganga Road, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, Lake View Road, K. K. Nagar, and Railway Institute, 7 p.m."
"Madurai Today - March 5, 2019",Friday,2019-04-05,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu, Parasakthi Nagar, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m."
Madurai Today,Thursday,2019-04-04,TAMIL NADU,['7 p.m.']," Anonymous: Meeting; Dheep Hospital, Alagarkoil Road, K. Pudur; Kalangarai Vilakkam Church, Mela Anuppanadi, and Rosary Church, Town Hall Road, 7 p.m."
Madurai Today,Wednesday,2019-04-03,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; R. C. Church, Sivaganga Road, Melur, 6.30 p.m.Prasanna Venkateswara Higher Secondary School; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
Madurai Today,Tuesday,2019-04-02,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai today,Monday,2019-04-01,TAMIL NADU,"['7 a.m.', '7 p.m.']"," Anonymous: Meeting, Holy Redeemers Church, Periyar bus stand, 7 a.m.; AG Church, Gomathipuram and Quality Care Hospital, Ellis Nagar, 7 p.m."
Madurai Today,Saturday,2019-03-30,TAMIL NADU,['7 p.m.']," Anonymous: Meeting; Ahana Hospital, Anna Bus Stand; Quality Care Hospital, Ellis Nagar, and R. C. School, Palanganatham, 7 p.m."
