Headlines,Descriptions,Authors,Published_Dates,Publication,Articles,category,Keywords,Summaries,Source_URLs
BOOZE RUINS LIVES!,â€œTHE wake-up call for me should have been the day a bullet blew my hat off.â€�.,Jabu Kumalo,2018-08-15T14:30:02.000Z,DailySun,"â€œTHE wake-up call for me should have been the day a bullet blew my hat off.â€� These were the words of Mussolini Shumi, who has managed to stop drinking thanks to Alcoholics Anonymous (AA). He told Daily Sun he sometimes couldnâ€™t believe he was still alive after all the drinking and criminal activities he was involved in. Speaking about the day he almost lost his life, Mussolini said: â€œWe were coming back from a soccer match between Chiefs and Sundowns when we decided to rob a guy. â€œThere were four of us and we thought he was an easy target because he was with a woman. â€œAs we tried to grab him, he pulled out a gun and fired at us. The first bullet hit my friend and severely injured him. â€œWe scattered all over the place and he kept on shooting. I felt my hat leaving my head as it was hit by a bullet. â€œEvery time I think about that moment, I sweat a bit.â€� Mussolini said they later learned the man was a soldier. He said thanks to AA, he was happy to say he no longer lived a rough and dangerous life. To show his gratitude, Mussolini and some members of his AA group in Katlehong, Ekurhuleni, will be holding a rally this Saturday. He said the aim of the imbizo was to spread the message to those still ruled by alcohol that there was hope for them. The imbizo will be held at Tsolo Hall on Makau Street from 9am. The venue is close to the well-known Change Bible Church. Mussolini, who has been sober for 10 years, said: â€œAfter being involved in two car accidents while driving a company car, I knew I needed help or I would die. â€œI decided to tell my employers the truth and was booked into rehab. When I came out, I joined AA and the past 10 years have been pure bliss.â€�Mussolini said anyone who thinks they might have a drinking problem should attend the event to find a solution.",{},"['aa', 'booze', 'hit', 'lives', 'decided', 'involved', 'ruins', 'imbizo', 'day', 'drinking', 'mussolini', 'thanks', 'hat']","He told Daily Sun he sometimes couldnâ€™t believe he was still alive after all the drinking and criminal activities he was involved in.
â€œThere were four of us and we thought he was an easy target because he was with a woman.
â€œEvery time I think about that moment, I sweat a bit.â€�Mussolini said they later learned the man was a soldier.
He said thanks to AA, he was happy to say he no longer lived a rough and dangerous life.
To show his gratitude, Mussolini and some members of his AA group in Katlehong, Ekurhuleni, will be holding a rally this Saturday.",https://www.dailysun.co.za/News/National/booze-ruins-lives-20180814
"ALCOHOLICS, IT'S NEVER TOO LATE!","IF YOU have a drinking problem or you know somebody who has, Uncle Tomâ€™s Hall in Orlando West, Soweto is the best place to be on Saturday.",Jabu Kumalo,2017-10-11T15:30:03.000Z,DailySun,"IF YOU have a drinking problem or you know somebody who has, Uncle Tomâ€™s Hall in Orlando West, Soweto is the best place to be on Saturday.The Soweto group of Alcoholics Anonymous will be holding its 35th annual rally. Members of the community are invited to hear how they can be pulled out of the pit of uncontrollable drinking. The imbizo, which starts at 9am, aims to reach out to people who have a booze problem.A member of the group said the imbizo was the highlight of his year. He has been sober for more than 20 years.He told the Peopleâ€™s Paper: â€œI have never missed any imbizo since I stopped drinking after I joined the group. There was a time when I thought everything was finished. I thought my life had reached a dead end. Things were so bad I even attempted suicide three times, but as you can see, I was not successful!â€œToday, I am always enthusiastic and ready to face life.â€�He said he never knew he had a drinking problem until a doctor suggested that he should visit the support group. He emphasised that it is never too late to stop.Entrance to the imbizo is free.The group can be reached on 0861 435 722 nationally.",{},"['west', 'alcoholics', 'visit', 'thought', 'late', 'problem', 'soweto', 'imbizo', 'yearshe', 'drinking', 'reached', 'group']","IF YOU have a drinking problem or you know somebody who has, Uncle Tomâ€™s Hall in Orlando West, Soweto is the best place to be on Saturday.
The Soweto group of Alcoholics Anonymous will be holding its 35th annual rally.
Members of the community are invited to hear how they can be pulled out of the pit of uncontrollable drinking.
He told the Peopleâ€™s Paper: â€œI have never missed any imbizo since I stopped drinking after I joined the group.
He emphasised that it is never too late to stop.",https://www.dailysun.co.za/News/National/alcoholics-its-never-too-late-20171010
NO BOOZE FOR THESE TWO!,SUNDAY was a joyful day as a husband and wife from Soweto shared stories about how they managed to stay away from booze for many years.,Jabu Kumalo,2018-10-03T18:00:10.000Z,DailySun,"SUNDAY was a joyful day as a husband and wife from Soweto shared stories about how they managed to stay away from booze for many years.The husband hasnâ€™t had a drink since he joined Alcoholics Anonymous 33 years ago, while the wife has been sober for 11 years. The other two people who were celebrating with them had been sober for three and six years.She said: â€œWe went to Home Affairs three times to file for divorce. â€œWe had to abandon the idea the first two times because the train we wanted to use wasnâ€™t operating properly. â€œOn the third attempt, we ended up watching a film called Dogs of War. â€œWe laughed when we realised we were holding hands in the cinema. â€œGod probably didnâ€™t want us to separate.â€�The husband said although he used to pressurise his wife into drinking, he couldnâ€™t stand it when she was drunk.The celebration was a warm-up for the annual Soweto Alcoholics Anonymous imbizo at Uncle Tomâ€™s Hall in Orlando West next Saturday. Entry is free. The imbizo is the organisationâ€™s way of letting alcoholics know help is available and itâ€™s never too late to quit. For more information, call Alcoholics Anonymous on 011 027 7132 or 0861 453 722.",{},"['anonymous', 'times', 'alcoholics', 'booze', 'wife', 'soweto', 'imbizo', 'yearsshe', 'husband', 'yearsthe', 'sober']","SUNDAY was a joyful day as a husband and wife from Soweto shared stories about how they managed to stay away from booze for many years.
The husband hasnâ€™t had a drink since he joined Alcoholics Anonymous 33 years ago, while the wife has been sober for 11 years.
The celebration was a warm-up for the annual Soweto Alcoholics Anonymous imbizo at Uncle Tomâ€™s Hall in Orlando West next Saturday.
The imbizo is the organisationâ€™s way of letting alcoholics know help is available and itâ€™s never too late to quit.
For more information, call Alcoholics Anonymous on 011 027 7132 or 0861 453 722.",https://www.dailysun.co.za/News/National/no-booze-for-these-two-20181002
A SEASON TO SOBER UP!,MZANSI is known as a nation of boozers.,Sifiso Jimta,2018-09-05T11:30:02.000Z,DailySun,"MZANSI is known as a nation of boozers.To give up boozing for just a few days, let alone one, would be impossible for many.But thatâ€™s exactly what World Without Wine is challenging SunLanders to do.The organisation has launched the #SoberSpringChallenge, during which citizens will be encouraged to stay without their drink for the entire season â€“ or 66 days!Speaking on a news channel, Janet Gourand said they started the organisation to help people who wanted to quit booze. â€œThe organisation started four years ago when it became aparent to many of us, including me,â€� she said. â€œI wanted to stop drinking alcohol and I struggled to do so in Mzansi. â€œI went to Alcoholics Anonymous and they couldnâ€™t help me. â€œI managed to stop when I lived in London, and when I came back I decided that, with my background in training and development, Iâ€™d design my own workshop. â€œWorld Without Wine has run a series of campaigns named Dry January and many people decided they wanted other dry campaigns. â€œThatâ€™s why we started #SoberSpringChallenge.â€�Social media users responded to the campaign on Twitter, with many people calling it a â€œdrunk ideaâ€�.Just Hlompho: Count me out. Iâ€™m not joining the #SoberSpringChallenge and Iâ€™ve been clean for nine months. Andre861219: Not possible. I have a glass of red wine every day!Busisiwe Maduna Yoooh: Iâ€™m not signing up.Dezanavo45: Janet got a phuza face nje.",{},"['season', 'janet', 'soberspringchallenge', 'im', 'help', 'dry', 'stop', 'wanted', 'organisation', 'wine', 'sober', 'started']","The organisation has launched the #SoberSpringChallenge, during which citizens will be encouraged to stay without their drink for the entire season â€“ or 66 days!
Speaking on a news channel, Janet Gourand said they started the organisation to help people who wanted to quit booze.
â€œThe organisation started four years ago when it became aparent to many of us, including me,â€� she said.
â€œI wanted to stop drinking alcohol and I struggled to do so in Mzansi.
â€œWorld Without Wine has run a series of campaigns named Dry January and many people decided they wanted other dry campaigns.",https://www.dailysun.co.za/News/National/a-season-to-sober-up-20180904-2
NAIR MAY GO FOR MENTAL HEALTH CHECK!,HE called President Cyril Ramaphosa the k-word in a widely circulated Facebook video.,Sun Reporter,2018-10-02T09:34:03.000Z,DailySun,"HE called President Cyril Ramaphosa the k-word in a widely circulated Facebook video.And now the Verulam Family Court is expected to make a ruling on Tuesday on whether Kessie Nair can apply for bail or be sent for mental observation before applying for bail.State prosecutor Carlson Govender and Nair's attorney Chris Gounden submitted their final arguments on Monday afternoon on the state's application that Nair be sent for a 28-day mental assessment at Fort Napier Hospital in Pietermaritzburg.Nair - the former Durban councillor and convicted fraudster who called President Cyril Ramaphosa the k-word in a widely circulated Facebook video - has been charged with six counts of crimen injuria and two of incitement of public violence.Govender argued that Nair should be treated as an in-patient at Fort Napier.He said the court should consider the evidence of a district surgeon who examined Nair on the day of his first court appearance, the evidence of Nair's brother Krishnan and that of the investigating officer Warrant Officer Ajay Lutchnan.The district surgeon had found that Nair showed no signs of mental illness but recommended that he should be sent to Fort Napier for 28 days, the court heard.Krishnan told the court that he noticed ""changes"" in Nair's mental state when he visited him at Westville prison on ""numerous occasions"".Lutchnan told the court that there was a time when he couldn't understand what Nair was saying when he took his fingerprints on the day of his arrest.Lutchnan said they had interacted about Nair's time in prison and about Nair ""belonging to a 26 section of the prison"".However, Gounden hit back at the state's witnesses.""The district surgeon is incompetent to do a mental observation, has no qualifications to deal with someone's mind and lacked expertise to make such an assessment. The district surgeon recommended that the accused be sent to Fort Napier but found that he had no signs of mental illness, which is contradictory,"" argued Gounden.His said Krishnan's evidence should not be considered because ""he can't manage his own affairs"" and had also ""sought assistance"".Krishnan had admitted in court that he was a member of Alcoholics Anonymous but said he had been clean for two and a half years.Gounden also argued that Nair should have been summoned to appear in court instead of being arrested. He said most people who were facing crimen injuria cases had only been summoned to appear in court.https://www.news24.com/SouthAfrica/News/court-to-rule-on-whether-kessie-nair-must-be-sent-for-mental-observation-prior-to-bail-application-20181002",{},"['surgeon', 'district', 'nairs', 'fort', 'napier', 'sent', 'health', 'evidence', 'nair', 'mental', 'check', 'court']","Govender argued that Nair should be treated as an in-patient at Fort Napier.
The district surgeon had found that Nair showed no signs of mental illness but recommended that he should be sent to Fort Napier for 28 days, the court heard.
Krishnan told the court that he noticed ""changes"" in Nair's mental state when he visited him at Westville prison on ""numerous occasions"".
""The district surgeon is incompetent to do a mental observation, has no qualifications to deal with someone's mind and lacked expertise to make such an assessment.
The district surgeon recommended that the accused be sent to Fort Napier but found that he had no signs of mental illness, which is contradictory,"" argued Gounden.",https://www.dailysun.co.za/News/National/nair-may-go-for-mental-health-check-20181002
XOLANI RAN 90KM ON HIS CRUTCHES,"HE STARTED the race in the middle of the night, facing 90km of tarred road and relying on his crutches and his will to succeed.",CHARLES BALOYI,2018-06-12T12:00:25.000Z,DailySun,"HE STARTED the race in the middle of the night, facing 90km of tarred road and relying on his crutches and his will to succeed.Â Fifteen hours and 50 minutes later he crossed the finish line at Moses Mabhida Stadium a national hero.Â Â BUT HIS JOURNEY TO RECOVERY STARTED MANY YEARS AGO UNDER A STORMWATER BRIDGE.Â Amputee Xolani Luvumo, a 34-year-old weekend athlete who works at a perfume factory in Pretoria, completed his first Comrades Marathon, running on crutches with only one leg.Xolaniâ€™s parents abandoned him when he was young. He lived with his gogo in the Eastern Cape.Â After his gogo died, young Xolani lived with his uncle. But soon his life spiralled out of control and he started a life on the streets.â€œI became addicted to nyaope. I was arrested and sentenced for using and selling drugs,â€� he said.Â He spent five years in prison and lost his leg to bone cancer. When he left prison, he lived under a bridge for seven years, still addicted to nyaope.Then, on 26 April 2016, his life changed when he met Hein Venter, who gave him a second chance. Venter was driving home one night and saw Xolani. He was moved to help him.Xolani went to rehab and attended Alcoholics Anonymous.Â â€œVenter means everything to me. For the first time I felt I was a man,â€� Xolani said.Â Venter said: â€œI saw Xolani on crutches and I decided to give him a chance. I offered him a job and he is now living in a flat in Mamelodi.â€�In September 2016 Xolani took part in a 5km fun run and in May 2017 he took part in his first 21km race.Â Last year he did his first marathon.Â When Xolani entered the Moses Mabhida Stadium on Sunday afternoon he was given a standing ovation.Â Xolani said radio stations like SAfm and Radio 702 phoned him and fans lined up at the Pinetown Premier Hotel for autographs.Â Xolaniâ€™s message is that people must not allow disability to get them down.Â His dream is to represent South Africa at the 2020 Paralympic Games in Tokyo,Â Japan.â€œNothing beats the feeling of receiving a heroâ€™s welcome from a big crowd,â€� he said.",{},"['xolani', 'young', '90km', 'took', 'ran', 'saw', 'lived', 'crutches', 'life', 'stadium', 'venter', 'started']","HE STARTED the race in the middle of the night, facing 90km of tarred road and relying on his crutches and his will to succeed.
Amputee Xolani Luvumo, a 34-year-old weekend athlete who works at a perfume factory in Pretoria, completed his first Comrades Marathon, running on crutches with only one leg.
After his gogo died, young Xolani lived with his uncle.
Venter was driving home one night and saw Xolani.
Venter said: â€œI saw Xolani on crutches and I decided to give him a chance.",https://www.dailysun.co.za/News/National/xolani-ran-90km-on-his-crutches-20180612
â€˜BABALASâ€™ FOR BUCS!,"ORLANDO PIRATES players allegedly escaped from their Three City Hotel at Umhlanga Rocks in Durban, KwaZulu-Natal.",Philani Mzila,2017-07-02T08:00:06.000Z,DailySun,"ORLANDO PIRATES players allegedly escaped from their Three City Hotel at Umhlanga Rocks in Durban, KwaZulu-Natal.Â They allegedly went on a drinking spree at Azar nightclub. It allegedly happened on Friday last week â€“ before the Nedbank Cup final on Saturday.Â Sunday Sun has heard allegations that babalas was one of the reasons why Orlando Pirates lost to SuperSport United in the big match at Moses Mabhida Stadium.Â The Peopleâ€™s Paper has learnt from reliable sources that four key Bucs players allegedly came back in the early hours of Saturday smelling of booze.Â They were: midfielder and dribbling wizards Thabo Rakhale and Thabo Qalinge, defensive midfielder Luvuyo Memela and goalkeeper Brighton Mhlongo.Â Bucs lost to Matsantsantsa a Pitori by 4-1.Â Sources claim the four players went to the nightclub and were drinking expensive wines and cocktails.Â â€œThey donâ€™t respect the club and itâ€™s not the first time theyâ€™ve done this.Â â€œThey would miss camp before the game and go clubbing when they had a game the following day,â€� the source said.Â â€œWe have a crisis, and the sad part is that fans lose out. They pay their money to come to stadiums to see their club â€“ only to go home disappointed.Â â€œThey stayed in the club until the wee hours of the morning.â€�Â Another source further claimed: â€œThey had Durban girls all over them and the mood was like they had won the cup. While, in fact, they were supposed to be resting and preparing for the game.Â â€œInstead, they were dancing and drinking booze the whole night.Â â€œSome were enjoying their wine and others were getting busy with Durbanâ€™s hotties.â€�Â Azarâ€™s manager, who asked to remain anonymous, said: â€œWe wonâ€™t be able to help you with that.Â â€œWe have a lot of customers and we donâ€™t ask them who they are and where are they from.â€�Â Qalinge said: â€œI wonâ€™t say we did or did not, but clearly you must be beware that such information is not true.â€�Â Bucs spokesperson, Thandi Merafe, said she wouldnâ€™t comment on the issue, if we didnâ€™t reveal our sources.Â Rakhale, Mhlongo and Memela refused to comment.",{},"['allegedly', 'babalas', 'orlando', 'source', 'thabo', 'club', 'bucs', 'pirates', 'drinking', 'wont', 'went', 'players']","ORLANDO PIRATES players allegedly escaped from their Three City Hotel at Umhlanga Rocks in Durban, KwaZulu-Natal.
They allegedly went on a drinking spree at Azar nightclub.
Sunday Sun has heard allegations that babalas was one of the reasons why Orlando Pirates lost to SuperSport United in the big match at Moses Mabhida Stadium.
The Peopleâ€™s Paper has learnt from reliable sources that four key Bucs players allegedly came back in the early hours of Saturday smelling of booze.
Sources claim the four players went to the nightclub and were drinking expensive wines and cocktails.",https://www.dailysun.co.za/Sunday-Sun/babalas-for-bucs-20170701
Clandestine sex industry booms in Rohingya refugee camps,"â€œAt least 500 Rohingya sex workers are living in Kutupalong,â€� says Noor, who works as a fixer",Thomson Reuters Foundation,2017-10-24T11:28:25+06:00,Dhaka Tribune,"Rumors Slipping into prostitution Safe spaces As Rohingya women struggle to access even the very basics such as food and water in Bangladeshâ€™s overcrowded camps, a flourishing sex trade offers cash in times of desperation. Four women entered the clean-swept mud hut, took off their black shawls and sat cross-legged on the floor. When asked if they sold sex, the women stirred uncomfortably and were silent. Later, after cups of tea, the question came up again. The women caught each otherâ€™s eyes. Slowly one of them walked across the room to shut the door, another blocked the window. Darkness fell in the small, humid hut and voices turned to whispers. â€œIf anyone finds out what we do, they will kill us,â€� murmured 26-year-old Romida. More than 600,000 ethnic Rohingya, a Muslim minority in Myanmar, have fled attacks by the Myanmar army since late August, fleeing across to border to southern Bangladesh in the worldâ€™s fastest growing refugee crisis. In Kutupalong, the biggest camp, the sex industry is thriving. Many of the sex workers are longer term residents of the Bangladeshi camps, but the influx of tens of thousands more vulnerable women and girls is expected to fuel the trade. â€œAt least 500 Rohingya prostitutes live in Kutupalong,â€� said Noor, who works as a fixer, but many have lived for years in the camp which was established in 1992. â€œRecruiters now have their eyes set on the newcomers,â€� she added. UN agencies say they have no figures on the numbers of sex workers in the camps to make public. â€œItâ€™s hard to come by numbers and we donâ€™t collect data on how many sex workers are in the camps,â€� Saba Zariv, an expert on gender-based violence at the UNâ€™s population agency UNFPA told the Thomson Reuters Foundation.A recent report from UNICEF, the UN childrenâ€™s fund, said that in the chaotic, unorganised camps, children and youths could fall prey to traffickers and people looking to exploit and manipulate them. From tight-knit conservative Muslim communities, the Rohingya often turn a blind eye to prostitution. â€œPeople pretend that it doesnâ€™t exist,â€� said Noor. â€œThe girls meet their Bangladeshi clients outside the camps. They donâ€™t sleep with other Rohingya. Our communities are tight and rumours could spread easily. Each girl wants to appear pure.â€� Many of the prostitutes are children who eat no more than one meal a day and donâ€™t attend school. They work secretively without even their parents knowing. Rena, 18, who has lived in the camp for the past decade was forced to marry an alcoholic two years ago. â€œHe mistreated me and beat me,â€� she said. Her abusive husband left her when she gave birth to her first son. Feeding her child became impossible. â€œThatâ€™s when I decided to become a sex worker. I was only 16, but it was out of desperation. I needed money.â€� Fourteen-year-old Kamru, who also sells sex, arrived years ago in a previous wave of Rohingya refugees. She has never been able to attend school because her family is too poor. â€œThe camp is all I remember. I grew up here, but I was always hungry,â€� said the teenager, who like all the women and girls did not want to reveal her full name. Sex workers share common traits: poverty, abusive family members and lack of funds make them vulnerable enough to be trafficked into the campâ€™s sex industry. â€œIf aid agencies canâ€™t manage to provide people with their basic needs, the risk of trafficking grows â€“ if we canâ€™t establish a sustainable mechanism here and aid tires out, we could see trafficking levels rise,â€� said Lisa Akero, gender protection specialist at the International Federation of Red Cross and Red Crescent Societies (IFRC).Romida had been left hungry and malnourished and saw prostitution as the only way she could survive. â€œI told myself Iâ€™d do anything. I didnâ€™t have a choice.â€� Her first client was a Bangladeshi friend who convinced her to have sex with him for Tk1,000 Taka ($12). â€œHe paid good money,â€� she recalled. â€œThe going-rate is Tk200 ($2.50) and my fixer takes half of it.â€� The business largely operates by phone calls, with pimps informing the girls where to go and who to see. On average, Romida has three male clients a week - and darenâ€™t risk taking on more for fear of being found out. â€œI sometimes travel as far as Coxâ€™s Bazar city, which is a two hour drive. Whenever I leave the camp, I have to make up excuses. I pretend to be visiting relatives or taking a shift at the market.â€� The Rohingya women meet men of all backgrounds - from university students to local politicians. In a brief phone conversation, Ali, a 23-year-old Bangladeshi student told the Thomson Reuters Foundation that he sleeps with prostitutes occasionally, but when he eventually marries he would expect his wife to be a virgin. Most clients donâ€™t use condoms, the women said. â€œI take birth control injections, but I worry about HIV every day,â€� said Romida. She has never been tested for sexually transmitted diseases.Half an hourâ€™s drive away from the muddy, chaotic camps, surrounded by green rice paddies, local charity Pulse has set up a safe house for refugees that can host up to 30 women. Due to open in the coming days, the dormitory-style apartment is newly refurbished and has a psychologist on site. â€œThe girls who come here might not want to talk about what is happening in their lives as they could be in danger,â€� said the shelterâ€™s manager Kurshida Aktar, adding that all vulnerable women are welcome: victims of rape, single mothers and sex workers. â€œWeâ€™re creating an opportunity for women to rebuild their lives, access basic needs, have an outlet to talk and receive job training,â€� said Aktar. But the four Rohingya women who agreed to speak to the Thomson Reuters Foundation were largely unaware of such services. â€œWe donâ€™t ask about it for fear of being found out,â€� said Kamru, the youngest of the girls. As she walks outside the house, she slips into her black burqa, covering all but her eyes. â€œI have to take it off when Iâ€˜m with my Bangladeshi clients,â€� she said. â€œBut in the camp itâ€™s my way to stay anonymous.â€�",{},"['booms', 'dont', 'clients', 'workers', 'camp', 'clandestine', 'camps', 'sex', 'refugee', 'women', 'industry', 'bangladeshi', 'girls', 'rohingya']","UN agencies say they have no figures on the numbers of sex workers in the camps to make public.
Sex workers share common traits: poverty, abusive family members and lack of funds make them vulnerable enough to be trafficked into the campâ€™s sex industry.
I pretend to be visiting relatives or taking a shift at the market.â€� The Rohingya women meet men of all backgrounds - from university students to local politicians.
But the four Rohingya women who agreed to speak to the Thomson Reuters Foundation were largely unaware of such services.
â€œI have to take it off when Iâ€˜m with my Bangladeshi clients,â€� she said.",https://www.dhakatribune.com/world/south-asia/2017/10/24/clandestine-sex-industry-booms-rohingya-refugee-camps
Alcoholic deaddiction awareness programme held at Vashi police stn,"Vashi:  A group of members of Alcoholic Anonymous (A A), a fellowship of men and women working for those who are willing to get rid of alcohol addiction, descen",Vashi:,None,Mumbai Mirror,"motivating talk: The AA members explained the primary purpose of staying sober and helping other alcoholics to achieve sobriety Vashi: A group of members of Alcoholic Anonymous (A A), a fellowship of men and women working for those who are willing to get rid of alcohol addiction, descended on Vashi police station on October 8 with the intention of spreading awareness among the policemen about the ill-effects of alcoholism. The members of AA aimed at achieving their primary purpose of staying sober and helping other alcoholics to achieve sobriety. They propagated their recovery programme to help the policemen to quit alcoholism, in case any of them was addicted to alcohol, and also help others in the society to quit alcohol, thereby helping them to lead a stress-free life which otherwise, due to alcoholism, adversely affects their family members. A member of Alcoholics Anonymous, on conditions of anonymity said, """"The AA recovery programme to help quit alcohol, we believe, will work for almost anyone who has a desire to stop alcohol consumption . It may work even for those who feel that they are prodded in the direction of AA. We have seen some alcoholics stumble for a while before getting on with the programme, but with repeated efforts, they have regained their senses and walked in the right path."""" SPI Raosaheb Sardesai of Vashi police station informed, """"We had conducted the training workshop for the police staff to help them understand the adverse effects of alcoholism. Hence, to achieve our goal we had invited the experienced members of the AA, who addressed the gathering of around 70 police staff comprising PIs, PSIs, APIs and the constabulary. The members propagated about the activities of the AA and the efforts taken by them to help alcoholics get rid of their addiction. The policemen like other individuals are not regular drinkers but still it is a necessity to instil within them a sense of responsibility towards the society. The awareness amongst the policemen will but naturally help them in tackling situations wherein they face people addicted to alcohol thereby enabling them to convince the alcoholics by explain them the methods of quitting alcohol, albeit gradually."""" Another member of AA, on conditions of anonymity emphasized, """"Early, in our association with AA, we heard about the Twelve Steps; of recovery from alcoholism, we learned that these steps represented an attempt by the first members to record their own progress from uncontrolled drinking to sobriety. We discovered that a key factor in this progress seemed to be humility, coupled with reliance on a power which is greater than ourselves. While some members preferred to call this power as God, we were told that this was purely a matter of interpretation. As we have grown in AA, our concept of a greater power has usually become more mature. But, it has always been our personal concept; no one has forced it upon us.â€� â€œExperience shows that alcoholics should, and can, learn to pace themselves. Live and Let live is one of the slogans of AA. When we first turned to AA, many of us had a number of serious problems involving money, family, job and our own personalities. However, we soon discovered that our immediate central problem was alcohol. Once we had that problem under control, we were able to make successful approaches to the other problems. Solutions to these problems have not always come easily, but we have been able to cope with them far more effectively when we were sober than we were able to do during our drinking days."""" Sources: The Times of Navi Mumbai",{},"['awareness', 'policemen', 'stn', 'held', 'alcoholism', 'alcoholics', 'vashi', 'help', 'programme', 'recovery', 'members', 'aa', 'sober', 'alcohol', 'alcoholic', 'quit', 'deaddiction']","The members of AA aimed at achieving their primary purpose of staying sober and helping other alcoholics to achieve sobriety.
A member of Alcoholics Anonymous, on conditions of anonymity said, """"The AA recovery programme to help quit alcohol, we believe, will work for almost anyone who has a desire to stop alcohol consumption .
It may work even for those who feel that they are prodded in the direction of AA.
The members propagated about the activities of the AA and the efforts taken by them to help alcoholics get rid of their addiction.
While some members preferred to call this power as 'God', we were told that this was purely a matter of interpretation.",https://mumbaimirror.indiatimes.com/mumbai/other/alcoholic-deaddiction-awareness-programme-held-at-vashi-police-stn/articleshow/16170814.cms
Giving Gyan,"I am a 34-year-old health professional, but presently a home-maker. My husband drinks moderately on weekends. I've tried to persuade him to stop but he brushes","Dear Bachi,  I am a 34-year-old health professional, but presently a home-maker. My husband drinks moderately on weekends. Iâ€™ve tried to persuade him to stop but he brushes me off saying that it is a common way of easing stress and that he is in control.  He warns that my nagging, crying and fighting on this issue will do more harm than good. He thinks I am overreacting, but Iâ€™m afraid. My husband is not a very strong-willed person and I fear he will eventually get addicted. Many men start off as casual drinkers but end up drinking heavily and ruining their lives. What should I do? I donâ€™t want his habit to spoil our otherwise happy family life.  â€” Ms Prohibition",None,Mumbai Mirror,"Dear Bachi, I am a 34-year-old health professional, but presently a home-maker. My husband drinks moderately on weekends. Iâ€™ve tried to persuade him to stop but he brushes me off saying that it is a common way of easing stress and that he is in control. He warns that my nagging, crying and fighting on this issue will do more harm than good. He thinks I am overreacting, but Iâ€™m afraid. My husband is not a very strong-willed person and I fear he will eventually get addicted. Many men start off as casual drinkers but end up drinking heavily and ruining their lives. What should I do? I donâ€™t want his habit to spoil our otherwise happy family life. â€” Ms Prohibition Dear Ms Prohibition, OMG, talk about self-fulfilling prophesies. I suggest you relax. Preferably, with a nice glass of red, or maybe even something stronger. Husbands are not usually right, but your Mr-ji is perfectly within his rights to unwind this way. By your own admission, heâ€™s drinking only moderately, and only on weekends â€” and Iâ€™d bring even this estimation down a peg or two because in your paranoid state, you have probably exaggerated it. To me, he doesnâ€™t sound one bit like heâ€™s on the road to destruction, or even the nearest centre of Alcoholics Anonymous. Heâ€™s the one who has made the more sober analysis, namely, that if you continue â€œnagging, crying and fighting on this issueâ€� you will certainly drive him there. Just listen to yourself. You sound like a prissy, pursed-lip, holier-than-thou harridan. A domineering wife who thinks only she knows whatâ€™s good for her family, and everyone else is a weakling who would be ruined if you werenâ€™t there to â€˜saveâ€™ him. Why on earth should he get â€˜addictedâ€™? For your information, I know many more casual drinkers who havenâ€™t turned into alcoholic wrecks. Let me be brutally honest. Your problem is that you were once a busy professional doing an important job for society, but now that you are a homemaker, you need to justify your existence (take out your frustrations) by nagging everybody else. Hereâ€™s something to shake you out of your alcoholism-induced delusions: if you donâ€™t reform, your â€˜happy marital lifeâ€™ will indeed get â€˜spoiltâ€™, and the fault will most definitely not be your husbandâ€™s. You can write to Bachi Karkaria at givinggyan@indiatimes.com",{},"['nagging', 'weekends', 'professional', 'hes', 'ms', 'giving', 'gyan', 'way', 'thinks', 'sound', 'life', 'moderately']","My husband drinks moderately on weekends.
He warns that my nagging, crying and fighting on this issue will do more harm than good.
â€” Ms ProhibitionDear Ms Prohibition,OMG, talk about self-fulfilling prophesies.
Husbands are not usually right, but your Mr-ji is perfectly within his rights to unwind this way.
To me, he doesnâ€™t sound one bit like heâ€™s on the road to destruction, or even the nearest centre of Alcoholics Anonymous.",https://mumbaimirror.indiatimes.com/opinion/columnists/bachi-karkaria/giving-gyan/articleshow/16188521.cms
