Group Name,Address,Town / City,State,Zipcode,Phone,Time
Saranalayam Group,"Church of Our Lady of Glory, Pulicat, Near Ponneri, Triuvallur Dist",Chennai,Tamil Nadu,600120,09566004382,Sun 8.00 pm
Andavan Arul Group,"Govt. Library, Sridevi Nagar, Hitipet",Chennai,Tamil Nadu,600120,08148327778,Tue 6.30 pm
Vasantham Group,"CSI Church, Bye Pass Rd , Gummidipoondi",Chennai,Tamil Nadu,600060,-,Thu 6.30 pm
New Good Life Group,"CSI Church, Bye Pass Road, Gummaiponai",Chennai,Tamil Nadu,600038,09944405551,Mon 7.00 pm
Costal Group,"Shrine Annai Vellankanni Church, Elliats Beach Road, Bessant Nagar",Chennai,Tamil Nadu,600090,09884461622,Fri 6.45 pm
Miracle Group,"St. Antonyar Alayakm, S.M.Nagar, Vyasarpadi",Chennai,Tamil Nadu,600039,09094045937,Fri 7.00 pm
Thinking Group,"Annai Velankanni Church, Sharma Nagar, Vyasarpadi",Chennai,Tamil Nadu,600039,09962839667,Tue 6.30 pm
Redemption Group,"St. Joseph Mat. HR. Sec. School, Opp. Veterinary College Veppery",Chennai,Tamil Nadu,600007,09385544793,Tue 7.00 pm
Care Group,"Zion church, Arunachalam street, Chintadripet, Next to F1 police station",Chennai,Tamil Nadu,600002,09941353541,Fri 7.00 pm
New Arisen Group,"St. Anthony Church, Richie Street, Narasapuram",Chennai,Tamil Nadu,600002,09941947335,Tue 7.00 pm
Brothers Group,"St. Francis Xavier Church, Broadway,",Chennai,Tamil Nadu,600108,09884157180,Sun 6.00 pm
Wisdom Group,"Singaram Pillai Boys Hr Sec. School, 1 MTH Road, Near Burial Gr Villivakkam",Chennai,Tamil Nadu,600049,08148742446,Fri 7.00 pm
New Way Group,"Police Quarters, Nr. Padmanabha Theatre, Kodithope",Chennai,Tamil Nadu,600079,09840144009,Wed 7.00 pm
Malarum Vazhu Group,"Chennai Corporatio School, Arunachalam St, Chepauk",Chennai,Tamil Nadu,600005,07904297470,Thu 7.00 pm
Aravanaippu Group,"Don Bosco Social Service Centre, Dr. Ambedkar Nagar, Decastor Rd, Puliyanthope",Chennai,Tamil Nadu,600012,09884773939,Sat 7.00 pm
