Headlines,Descriptions,Authors,Published_Dates,Publication,Articles,category,Keywords,Summaries,Source_URLs
Alcoholics Anonymous: The helping hand for addicts,"This group is not a rehabilitation centre or an NGO, but just a fellowship of men and women who share their experiences.",,"May 3, 2016, 3:24 am IST",Deccan Chronicle,"What begins as social drinking turns into alcoholism for many, but there are many who want to come out of it. Bengaluru: Sitting at one of the quiet corners of Stracey Memorial High School, a group of about thirty addicts gather late in the evenings to discuss one of the most debilitating issues of all ---alcoholism. What begins as social drinking turns into alcoholism for many, but there are many who want to come out of it. ""I was the General Manager at a company until alcoholism gripped me and I was forced to leave the job,"" says 46-year-old Gnaneswar, who has not touched any alcohol for the past six years. ""I havent even taken a sip of beer in the last 6 years as I am completely out of it,"" says Gnaneswar, who is an active member of Alcoholics Anonymous, Bangalore and helps other alcoholics get rid of this problem. This group is not a rehabilitation centre or an NGO, but just a fellowship of men and women who share their experiences, strength and hope with each other, so that they may solve their common problem and help others recover from alcoholism too. At the age of forty, Gnaneshwar became an alcoholic and was told to leave the house many times. ""For me back then alcohol was a religion and I would even lie to get things done my way. I would do it for money as well. All I cared about was drinking,"" says Gnaneswar. His addiction cost him his job, his family and his friends. ""I still remember the day when I was hospitalized and my father asked me to leave the house as he’d had enough. On the third day, a few people from this group met me and the rest is history!"" But he is not alone in the journey to get rid of this addiction. ""There are people who have not touched alcohol for thirty years and they help one another. But the first step is acceptance. “Only if the alcoholic accepts his condition will we include him into the group, where we dont charge anyone a single penny."" There are 72 centres across the city, which conduct sessions from 7 pm to 8 pm and each centre witnesses around 30 to 40 alcoholics. ""We have teenagers and senior citizens attending our sessions,"" says Gnaneswar. Every single alcoholic who has fully recovered tries to reach out to others as well.",Health and Wellbeing,"['addicts', 'anonymous', 'leave', 'turns', 'touched', 'hand', 'group', 'gnaneswar', 'alcoholics', 'drinking', 'alcoholism', 'alcoholic', 'alcohol', 'helping']","What begins as social drinking turns into alcoholism for many, but there are many who want to come out of it.
What begins as social drinking turns into alcoholism for many, but there are many who want to come out of it.
""I haven't even taken a sip of beer in the last 6 years as I am completely out of it,"" says Gnaneswar, who is an active member of Alcoholics Anonymous, Bangalore and helps other alcoholics get rid of this problem.
""There are people who have not touched alcohol for thirty years and they help one another.
There are 72 centres across the city, which conduct sessions from 7 pm to 8 pm and each centre witnesses around 30 to 40 alcoholics.",https://www.deccanchronicle.com/lifestyle/health-and-wellbeing/030516/alcoholics-anonymous-the-helping-hand-for-addicts.html
Alcoholics Anonymous,Alcoholics Anonymous,,None,Deccan Chronicle,"Alcoholics Anonymous: The helping hand for addicts This group is not a rehabilitation centre or an NGO, but just a fellowship of men and women who share their experiences. 03 May 2016 3:24 AM",{},"['anonymous', 'experiences03', 'hand', 'group', 'men', 'share', 'alcoholics', 'women', 'ngo', 'fellowship', 'helping', 'rehabilitation']","Alcoholics Anonymous: The helping hand for addictsThis group is not a rehabilitation centre or an NGO, but just a fellowship of men and women who share their experiences.
03 May 2016 3:24 AM",https://www.deccanchronicle.com/content/tags/alcoholics-anonymous
"The chat room: ‘Not prohibition, rehab is the answer to alcoholism’",Drinking is now a celebrated part of our culture and is an almost inextricable part of meeting,,"May 22, 2016, 5:53 am IST",Deccan Chronicle,"Last week, Samrat Chadha, one of the head honchos at the UB Group, drove his BMW into an autorickshaw, injuring three people. After hours of negotiation with the police, he was made to take an alcometer test, which proved positive. With drunken driving incidents like these on the rise - a number of them fatal - and more and more states taking to the idea of prohibition, is it time for Karnataka to follow suit? A counsellor for rehab inmates and long-time member of Alcoholics Anonymous rubbished the idea at once. Suresh (name changed) chose to remain anonymous, in keeping with the groups policy, but said, ""Thats quite stupid. The state would lose out on a lot of revenue. And the bottom line is that it would only hit the poor man. The rich, like Samrat Chadha, will not be affected by it at all. They know how to procure alcohol and can afford to pay for it."" Chadha, he said, exhibits definite signs of a drinking problem — ""He doesnt know his limits, clearly. This is the second stage of the disease, when the alcoholic begins blacking out. When they are under the influence, they have no idea what they are doing, lose their sense of judgment and dont remember it the next day."" Todays lifestyle, Suresh explained, has a big role to play in these incidents. Drinking is now a celebrated part of our culture and is an almost inextricable part of meeting ""social commitments."" Its up to the individual, he explained, to know his limits. The effects, of course, are mostly visible among the wealthier sections of society - ""A man who doesnt own a car will end up in a brawl on the streets or at home. The principle is the same, though. You dont know what youre doing and the next day, youre wondering what on earth happened."" Not everybody who drinks has a problem, of course and Alcoholics Anonymous has stats at the ready to back this. ""Out of a 100 people who drink, 10 are problem drinkers,"" Suresh said. ""Out of those ten, three will turn into alcoholics."" And its unfair to blame the condition on anybody else, he added. ""The blame game can go on and on - your boss fired you, so you drink. Your wife didnt listen to you, so guess what - you drank! Every alcoholic has a thousand excuses to have a drink and its upto him to come to terms with it."" Still, the fact that money is easy to come by these days has played a major role in the drinking culture we see today. ""Everyone can afford to go out for a drink - or three. Its a part of office life as well - corporate companies need to spread awareness among their employees. Alcohol is a fashion statement."" The onus cannot be lifted entirely from the government, even if prohibition is not the answer - ""I might be an A.A. member, but that doesnt mean Im against drinking,"" Suresh remarked, with a laugh. ""Still, the government can spread awareness and work with groups like A.A. - who will help for free, by the way. We need more stringent rules in place."" Getting caught for driving drunk means a fine, yes, but thats the end of that and it simply wont do. ""Every time a case of drunken driving or domestic abuse brought on by alcohol is reported in the station, cops should know what to do. Sending people to rehab or to A.A. meetings for a stipulated time period should become part of the system. Thats how things are done in the West and it works very well. But we, as a society, dont understand the meaning or the implications of alcoholism."" Far from recommending an A.A. meeting to a repeat offender, cops, he said, respond with, ""Did the wine shop invite these people to drink? Thats the kind of reaction we get, even though we dont charge any money for what we do."" Very little government funding goes into long term plans, Suresh added. ""You have departments like the Welfare Board, which dont do anything. Theyre just a farce and completely politically motivated. If a little bit of the money allocated to them was put to the use for which it was intended, society would come a long way.”",Current Affairs,"['know', 'room', 'society', 'problem', 'suresh', 'dont', 'answer', 'prohibition', 'drink', 'aa', 'chat', 'drinking', 'alcoholism', 'thats', 'money', 'rehab']","Chadha, he said, exhibits definite signs of a drinking problem — ""He doesn't know his limits, clearly.
You don't know what you're doing and the next day, you're wondering what on earth happened.""
The onus cannot be lifted entirely from the government, even if prohibition is not the answer - ""I might be an A.A. member, but that doesn't mean I'm against drinking,"" Suresh remarked, with a laugh.
Sending people to rehab or to A.A. meetings for a stipulated time period should become part of the system.
But we, as a society, don't understand the meaning or the implications of alcoholism.""",https://www.deccanchronicle.com/nation/current-affairs/220516/the-chat-room-not-prohibition-rehab-is-the-answer-to-alcoholism.html
Helping alcoholics kick the bottle!,Today Harsha is a happily married man and he calls himself a good son and a good father.,,"Aug 28, 2017, 1:23 am IST",Deccan Chronicle,"BENGALURU: Despite measures being taken by several states to make the sale and consumption of alcohol illegal, reports suggest that it hardly impacts the alcoholics, as they find various ways to consume alcohol. With a vision to end the long term ramifications that alcohol has on the individual and the chain of relationships dependent on the individual, Alcoholics Anonymous (AA), a non-profit group of men and women, share their experiences in order to help others recover from the addiction. Anand, a member of the AA, terms alcoholism as a disease. He said, “People do not understand that it is a disease which can be compared to diabetes, where patients despite being advised to stay away from sugar would be tempted to consume it.” He adds that AA being a fellowship of men and women approach the alcoholic who wants to quit drinking, as only an alcoholic can understand the trauma of another alcoholic. While the de-addiction centre isolates the individual by keeping them in a protected area, AA volunteers aim to bring the alcoholics to the mainstream by the volunteers sharing their personal experiences. Harsha (name changed), one of the recovered members of AA, who quit alcohol consumption six years ago, shares his experience with Deccan Chronicle, “I was 21 when I was an alcoholic. It ultimately led to my isolation as nobody gave me respect. Despite having a good job I was paranoid,” he said. Today Harsha is a happily married man and he calls himself a good son and a good father. There are over 93 groups of AA in Bengaluru and meetings are conducted at schools and churches twice a week. Out of 2,500 members of AA, Anand said 705 are active members.",Viral and Trending,"['members', 'good', 'volunteers', 'individual', 'kick', 'aa', 'alcoholics', 'women', 'despite', 'alcoholic', 'alcohol', 'bottle', 'helping']","BENGALURU: Despite measures being taken by several states to make the sale and consumption of alcohol illegal, reports suggest that it hardly impacts the alcoholics, as they find various ways to consume alcohol.
While the de-addiction centre isolates the individual by keeping them in a protected area, AA volunteers aim to bring the alcoholics to the mainstream by the volunteers sharing their personal experiences.
Today Harsha is a happily married man and he calls himself a good son and a good father.
There are over 93 groups of AA in Bengaluru and meetings are conducted at schools and churches twice a week.
Out of 2,500 members of AA, Anand said 705 are active members.",https://www.deccanchronicle.com/lifestyle/viral-and-trending/280817/helping-alcoholics-kick-the-bottle.html
"We are addicted to the absence of absence, says Pooja Bhatt","Actor-director Pooja Bhatt talks about dealing with alcoholism, her reasons for walking out of marriage and other life choices.",,"Apr 1, 2017, 12:23 am IST",Deccan Chronicle,"Power, determination and the unabashed guts to state a ‘spade a spade’ — actor-filmmaker-producer Pooja Bhatt is known for speaking the blunt reality of life. Whether it’s through her films like Dushman and Zakhm or her personal life, she did what she found right with conviction. In an interview, she spoke of the stigma of women alcoholism, walking out of marriage, having no children and more. Alcohol addition When you can ‘easily gulp half a bottle of single malt’ without feeling guilty, it’s time to pull the plug, states Pooja. “I have Scottish genes, my grandfather was Scottish. My father was a voracious drinker. So, drinking came naturally to me. It was Christmas when I finally decide to pull the plug. I sat with my four cats, put my phone on the silent mode, made myself dinner, toasted myself with a glass of water and went to bed,” shares the actress who was celebrating her 90 days of sobriety. She further adds, “I quit drinking because I thought somewhere I had fallen in that trap of addiction and the only way to get out of it was to acknowledge it to myself.” Societal stigma Pooja points out the societal stigma associated with women makes them brush things under the carpet. “I want to break the stigma attached to alcoholism in our country. Women particularly are discouraged from seeking help because it’s a matter of shame for the family. We don’t share our pain or frailties, we cover our weaknesses and it becomes a cancer. Also, people put up this facade that they are under control by saying things like ‘It’s socially acceptable’, ‘I am not that drunk’,” she explains. “It’s the absence of absence we are addicted to. All of us are somewhere lonely and have different ways to cope with it — for some of us it’s alcohol that provides solace.” World — her AA group She didn’t need to go to Alcoholics Anonymous (AA) as she had strong support systems, and speaking openly about the problem helped her overcome it. “To overcome any problem one must have to be real with themselves. I made the world my AA class. I have never been to any AA group meeting neither did I have a medical problem. It was just self-realisation that made me quit. I am 45 and if I wanted to give myself 10 years of living, I had to quit now before I drank myself to the grave. I had to reclaim the sharper, brighter me which got watered down.” Today, Pooja has a fully stocked bar at home and even pours out drinks for friends and could sit through a party without having the urge to drink. “If I can’t be around alcohol and resist it, it means I’m not in control. Each day strengthens my resolve as I realise I have more hours to a day now. Even when I drank till 4 am, I’d be at work at 10 am but I was burning myself out. Today, I feel lighter with the excess water gone. All the drama alcohol brings is eliminated from my life,” she says. Talking about her biggest achievement so far, she says, “When some of my female friends call me asking for help and advice to overcome their addiction, I feel very good. Though, I am not qualified but I give them motivation to face each day as it comes. I do not believe in having a long-term plan.” Ending her marriage Two years ago, Pooja ended her marriage of 12 years. “People did not even think that we could survive a few months together but we were together for 12 successful years. We promised each other that we would never look over each other’s shoulder and live a lie. We didn’t have children which made it easier for us. One of the prime reasons for ending the marriage was that in the process of being a responsible wife, producer and production designer, I forgot and left the girl in me far behind. People do ask me, ‘Oh, you left your 12 years of marriage to find yourself’. Yes, that bloody well is the reason I left. Not for somebody else or a comfortable life, I gave all that up for being fiercely single and living the life on my own terms.” Having children At one point in her life, she wanted to have six children. “Today, science has advanced to the extent that I could have children whenever I want. Do I want to opt for surrogacy? I do not. At present I do not have any such plans but if I feel like that in future, I might have a child of my own. I am sorry if I am going to disappoint women who feel that becoming a mother completes you. I don’t feel I am any less of a woman for not having a child. I do not think any woman in the world should feel that way. It’s a personal choice. Why me syndrome “We all go through a phase when we think that why everything bad is happening. I don’t believe in feeling victimised, instead I like facing it on. Would I like to change a few things in life, Yes! But at the end of the day, mistakes are the dues you get to have a full life. And remember it’s a fact that bad thing happens to good people and good things always happen to good people. So, you need to get passed it and me true to yourself,” she states.",Bollywood,"['life', 'having', 'good', 'absence', 'day', 'addicted', 'children', 'marriage', 'bhatt', 'women', 'pooja', 'feel', 'things']","Power, determination and the unabashed guts to state a ‘spade a spade’ — actor-filmmaker-producer Pooja Bhatt is known for speaking the blunt reality of life.
In an interview, she spoke of the stigma of women alcoholism, walking out of marriage, having no children and more.
“It’s the absence of absence we are addicted to.
I do not believe in having a long-term plan.”Ending her marriageTwo years ago, Pooja ended her marriage of 12 years.
And remember it’s a fact that bad thing happens to good people and good things always happen to good people.",https://www.deccanchronicle.com/entertainment/bollywood/010417/we-are-addicted-to-the-absence-of-absence-says-pooja-bhatt.html
Prayers can help us resist urge to booze: study,Prayer stimulates the parts of the brain that are responsible for attention and emotion.,,"May 8, 2016, 10:41 am IST",Deccan Chronicle,"Researchers found that a craving for alcohol could be tempered by the power of prayer. (Photo: Pixabay) Washington D.C.: When the urge to booze hits you, turn to God, suggests a new study. After working with longstanding members of Alcoholics Anonymous (AA), the New York University researchers found that a craving for alcohol could be tempered by the power of prayer. According to them, prayer stimulates the parts of the brain that are responsible for attention and emotion. The participants, who were first shown a series of images considered to induce alcohol cravings, reported less desire to drink after they recited a prayer. Senior author Marc Galanter, Director of the Division of Alcoholism and Drug Abuse at the university, said the experience of going to AA had left some people with an ""innate ability"" to use prayer to minimise the effect of alcohol triggers. Craving is diminished in long-term AA members compared to patients who have stopped drinking for some period of time but are more vulnerable to relapse, he added. ""Our current findings open up a new field of inquiry into physiologic changes that may accompany spiritual awakening and perspective changes in AA members and others,"" said Dr Galanter. The study appears in the American Journal of Drug and Alcohol Abuse.",Health and Wellbeing,"['members', 'help', 'study', 'tempered', 'booze', 'prayers', 'researchers', 'prayer', 'power', 'drug', 'university', 'urge', 'resist', 'aa', 'craving', 'alcohol']","Researchers found that a craving for alcohol could be tempered by the power of prayer.
(Photo: Pixabay)Washington D.C.: When the urge to booze hits you, turn to God, suggests a new study.
Craving is diminished in long-term AA members compared to patients who have stopped drinking for some period of time but are more vulnerable to relapse, he added.
""Our current findings open up a new field of inquiry into physiologic changes that may accompany spiritual awakening and perspective changes in AA members and others,"" said Dr Galanter.
The study appears in the American Journal of Drug and Alcohol Abuse.",https://www.deccanchronicle.com/lifestyle/health-and-wellbeing/080516/prayers-can-help-us-resist-urge-to-booze-study.html
Pooja Bhatt will write on her struggle with alcoholism in tell-all book,"Pooja Bhatt, who is a success story in herself, will soon be releasing her book.",,"Mar 16, 2018, 12:07 am IST",Deccan Chronicle,"Filmmaker and former actress Pooja Bhatt is on a new journey — that to quit alcohol. By her own admission, she had been addicted earlier, but has been sober for a while now. She even spoke extensively about her struggle with alcoholism a few months ago. Now, Pooja, who is a success story in herself, will soon be releasing her book, which will speak about her battle with alcohol, but she has clearly stated that this isn’t her autobiography. Adds a source, “The book, which has still not been titled, will widely speak about her journey through drinking and alcoholism. While Pooja and her father have never been to rehab to quit alcohol, they’ve frequently been spotted at Alcoholics Anonymous meetings, trying to talk to people on how to kick the bottle.” Mahesh Bhatt famously quit drinking, after finding dirt on his face on a then-Bombay pavement 28 years ago, and Pooja quit drinking 14 months ago. She even took to Twitter to share the news of her having completed 445 days of sobriety. “Thank you Lord for the courage to say NO and for the capacity to be able to start all over again if necessary. 445 days sober today & counting. Gratitude for the resilience and strength bestowed with every new step I take! #sobriety #recovery #claimyourjourney (sic),” she wrote. Known to speak her mind from a very early age, Pooja became Bollywood’s youngest producer at the age of 23, when most other actresses were busy pursuing their acting ambitions.",Bollywood,"['sober', 'months', 'days', 'quit', 'struggle', 'journey', 'speak', 'write', 'bhatt', 'drinking', 'alcoholism', 'book', 'pooja', 'alcohol', 'tellall']","Filmmaker and former actress Pooja Bhatt is on a new journey — that to quit alcohol.
By her own admission, she had been addicted earlier, but has been sober for a while now.
She even spoke extensively about her struggle with alcoholism a few months ago.
Adds a source, “The book, which has still not been titled, will widely speak about her journey through drinking and alcoholism.
445 days sober today & counting.",https://www.deccanchronicle.com/entertainment/bollywood/160318/pooja-bhatts-tell-all-book-on-kicking-the-bottle.html
"AA reaches out to schools now, rural men in TN drink more",Consumption of alcohol is also high in Tamil Nadu. In rural areas 47.4 per cent of men consume alcohol.,,"Aug 1, 2018, 6:15 am IST",Deccan Chronicle,"Thanjavur: It will be startling to note that the age where someone gets their first taste of alcohol has reduced drastically over the past 12 years in India from 21 to 18 and is now at 13. This is no doubt a matter of concern. Coordinators of ‘Alcoholic Anonymous’, a support group to help people to come out of their drinking problem, said that AA is now holding public awareness meetings in schools also besides colleges because of of this startling report. AA has even been suggested by courts as co-therapy or follow up counseling. AA is an International fellowship of men and women who have once had a drinking problem. It is a non-professional, self-supporting, non denominational, apolitical and available almost everywhere. Membership is open to anyone who wants to do something about his or her drinking problem. As per statistics of union health ministry, Telangana stands at top among southern states when it comes to consumption of alcohol. 53.9 per cent of men and 8.8 per cent of women across Telangana consume alcohol. Consumption is higher in rural areas than in towns and cities. Consumption of alcohol is also high in Tamil Nadu. In rural areas 47.4 per cent of men consume alcohol and in urban areas 46 per cent of men consume alcohol. With respect to women consumption is less with 0,5 per cent in urban areas and 0.3 per cent in rural areas. (In agitations against Tasmac, women are in the forefront in Tamil Nadu). Consumption of alcohol is the lowest in Kerala among southern states. 40.8 per cent of men consume alcohol in urban areas in Kerala and 32.8 per cent in rural areas according to ministrys statistics.",Current Affairs,"['reaches', 'consume', 'cent', 'rural', 'urban', 'drink', 'aa', 'men', 'schools', 'alcohol', 'areas', 'drinking', 'consumption', 'tn', 'women']","53.9 per cent of men and 8.8 per cent of women across Telangana consume alcohol.
Consumption is higher in rural areas than in towns and cities.
In rural areas 47.4 per cent of men consume alcohol and in urban areas 46 per cent of men consume alcohol.
With respect to women consumption is less with 0,5 per cent in urban areas and 0.3 per cent in rural areas.
40.8 per cent of men consume alcohol in urban areas in Kerala and 32.8 per cent in rural areas according to ministry's statistics.",https://www.deccanchronicle.com/nation/current-affairs/010818/aa-reaches-out-to-schools-now-rural-men-in-tn-drink-more.html
I needed to learn: Zac Efron on drinking problem,Zac Efron completed a brief stint in rehab for problems with cocaine and alcohol last year,,"May 1, 2014, 10:36 pm IST",Deccan Chronicle,"Los Angeles: Zac Efron, who secretly completed a brief stint in rehab for problems with cocaine and alcohol last year, says it was tough but interesting journey. Since then, the 26-year-old star is back to leading a normal life and has joined Alcoholics Anonymous, said the Hollywood Reporter. “I was drinking a lot, way too much. It’s never one specific thing. I mean, you’re in your 20s, single, going through life in Hollywood, you know?,” he said about his pre-rehab life. “Everything is thrown at you. I wouldn’t take anything back; I needed to learn everything I did. But it was an interesting journey, to say the least,” Efron said about his eventful year. The actor feels he is now much more comfortable about himself since joining AA. “I just started going. And I think it’s changed my life. I’m much more comfortable in my own skin. Things are so much easier now. It’s a never-ending struggle.”",Hollywood,"['life', 'problem', 'learn', 'yearthe', 'needed', 'comfortable', 'efron', 'youre', 'going', 'interesting', 'zac', 'drinking', 'wouldnt', 'hollywood']","Los Angeles: Zac Efron, who secretly completed a brief stint in rehab for problems with cocaine and alcohol last year, says it was tough but interesting journey.
Since then, the 26-year-old star is back to leading a normal life and has joined Alcoholics Anonymous, said the Hollywood Reporter.
I mean, you’re in your 20s, single, going through life in Hollywood, you know?,” he said about his pre-rehab life.
I wouldn’t take anything back; I needed to learn everything I did.
But it was an interesting journey, to say the least,” Efron said about his eventful year.",https://www.deccanchronicle.com/140501/entertainment-hollywood/article/i-needed-learn-zac-efron-drinking-problem
When people tend to bond less with friends,People tend to alienate other members of a support group as they age,,"Jan 23, 2015, 6:32 pm IST",Deccan Chronicle,"Washington: A new study has recently revealed that when people move from the early stages of pursuing a goal to a more advanced stage, they tend to alienate other members of a support group. Szu-chi Huang (Stanford University), Susan M. Broniarczyk (University of Texas at Austin), Ying Zhang (Peking University), and Mariam Beruchashvili (California State University, Northridge) wrote that when consumers start working towards a goal, they often feel uncertain about how to achieve it and see others at a similar stage as friends, so they pass on helpful tips and cheer each other on. But once the goal was in sight, consumers feel more certain and believe they dont need support from others, so they become distant and keep useful information to themselves, they further added. Since sharing information benefits consumers, this research can help support groups such as Weight Watchers, Alcoholics Anonymous, or smoking cessation programs find ways to keep people engaged and working toward their goals. The study is published in the Journal of Consumer Research.",Sex and Relationship,"['study', 'consumers', 'support', 'stage', 'university', 'bond', 'feel', 'tend', 'information', 'friends', 'working', 'research', 'goal']","Washington: A new study has recently revealed that when people move from the early stages of pursuing a goal to a more advanced stage, they tend to alienate other members of a support group.
Szu-chi Huang (Stanford University), Susan M. Broniarczyk (University of Texas at Austin), Ying Zhang (Peking University), and Mariam Beruchashvili (California State University, Northridge) wrote that when consumers start working towards a goal, they often feel uncertain about how to achieve it and see others at a similar stage as friends, so they pass on helpful tips and cheer each other on.
But once the goal was in sight, consumers feel more certain and believe they don't need support from others, so they become distant and keep useful information to themselves, they further added.
Since sharing information benefits consumers, this research can help support groups such as Weight Watchers, Alcoholics Anonymous, or smoking cessation programs find ways to keep people engaged and working toward their goals.
The study is published in the Journal of Consumer Research.",https://www.deccanchronicle.com/150123/lifestyle-relationship/article/when-people-tend-bond-less-friends
