Headlines,Descriptions,Authors,Published_Dates,Articles,Keywords,Summaries,Source_URLs,Image_URLs
Every university 'needs' Alcoholics Anonymous meetings,Alcoholics Anonymous says the number of younger people attending their meetings is on the increase.,[],None,"Image copyright Getty Images

Alcoholics Anonymous (AA) meetings should take place in universities across the UK, student leaders have said.

Charity AA says the number of younger people attending their meetings is on the increase.

NUS Wales president Gwyneth Sweatman said Cardiff University's sessions for problem drinkers, one of the first of its kind, have made a big difference.

One student said the help she received turned her life around.

Cardiff undergraduate ""Marie"" said alcohol pushed her life at university to the edge.

At her lowest ebb, she drank 15 pints of cider a day, was arrested and risked being kicked off her course.

She said: ""It was affecting my work significantly.

""I wasn't concentrating in meetings, I couldn't focus, I was erratic in my behaviour and my decisions.""

""I wasn't turning up, it was having a really negative effect on my mental health and that was spiralling, really awful anxiety and depression and suicide-based thoughts.""

The latest official data suggest young people are drinking less.

However, Dr Mani Mehdikhani, a trustee at Alcoholics Anonymous, said the number of younger attendees at meetings was on the up.

""Looking at our own internal AA surveys that we conduct every five years, every time a survey is undertaken we have increasingly larger numbers of younger people coming as new-comers to AA.

""The last survey in 2015, about 33% of our newcomers were under 40 and I'm sure a big percentage were in the university student-age group.""

Image caption The weekly AA meeting at Cardiff University's student union is for anyone who wants to stop drinking.

Cardiff University also has a student counselling and a well-being team which provides support for ""some of the underlying difficulties associated with, or directly linked to, alcohol misuse"".

Jennifer Kent, a vice president at the union, said: ""For us it feels like a really good way of integrating the students and the community here, and it's also important that, by bringing it here, the students don't feel stigmatised.""

NUS Wales president, Gwyneth Sweatman said she thought the AA meetings idea was ""absolutely brilliant"", and one which she would ""love"" to see replicated across the UK - similar to the United States, where college campaigns AA meetings are more common.","['student', 'anonymous', 'meetings', 'alcoholics', 'younger', 'universitys', 'really', 'wasnt', 'aa', 'wales', 'needs', 'university', 'president']","Image copyright Getty ImagesAlcoholics Anonymous (AA) meetings should take place in universities across the UK, student leaders have said.
NUS Wales president Gwyneth Sweatman said Cardiff University's sessions for problem drinkers, one of the first of its kind, have made a big difference.
However, Dr Mani Mehdikhani, a trustee at Alcoholics Anonymous, said the number of younger attendees at meetings was on the up.
Image caption The weekly AA meeting at Cardiff University's student union is for anyone who wants to stop drinking.
NUS Wales president, Gwyneth Sweatman said she thought the AA meetings idea was ""absolutely brilliant"", and one which she would ""love"" to see replicated across the UK - similar to the United States, where college campaigns AA meetings are more common.",https://www.bbc.com/news/uk-wales-45023075,https://ichef.bbci.co.uk/news/1024/branded_news/14A4D/production/_102775548_gettyimages-490304270-1.jpg
The many groups that have copied Alcoholics Anonymous,Alcoholics Anonymous was founded 80 years ago. It has spawned a host of other groups dealing with every manner of compulsion.,[],None,"Image copyright Other Image caption An AA meeting depicted on the Sopranos

Alcoholics Anonymous was founded 80 years ago. It has spawned a host of other groups dealing with every manner of compulsion, writes Chris Stokel-Walker.

""My name is Peter and I'm an alcoholic.""

It's a familiar phrase even to those who have never attended a meeting of Alcoholics Anonymous. When Peter introduces himself to 40 others in a small room just off Newcastle's main shopping thoroughfare, on a sunny Saturday morning, he receives a warm welcome back in unison.

Everyone here shares a drink dependency, though they come from hugely different walks of life. The format of the meeting is simple - an introduction, a reading, one member explaining their story, then a free-for-all discussion for others to share their concerns, their triumphs, and their thoughts.

Peter began to drink at the age of 11. ""By the age of legal drinking in the UK I was being admitted to local alcoholic units; in and out of doctors; in and out of police cells. Everything in my life really deteriorated."" But Peter hasn't tasted alcohol in 34 years, and he attributes his sobriety to Alcoholics Anonymous.

All members talk about ""working through the 12 steps"" that form the cornerstone of the programme. The first of the steps, published four years after AA began, reads: ""We admitted we were powerless over alcohol - that our lives had become unmanageable.""

The 12 steps outline a plan of recovery to overcome addiction, which involves submitting to a higher spiritual power and admitting that alcoholism is an ongoing problem. Founded by Bill Wilson and Bob Smith in Akron, Ohio, AA grew out of a Christian organisation - the Oxford Group.

Image copyright ALAMY Image caption The 12-step recovery programme for Narcotics Anonymous are the same for AA

The group is marking 80 years from the moment Wilson helped Smith - 10 June 1935 was the latter's last drink. That social element of AA, the importance of ""sponsors"" in the process, is as well known as any of the steps.

Today, there are 115,326 Alcoholics Anonymous groups in 175 different countries, according to the group's latest estimates, with more than two million members. There are 60,143 groups in the United States alone.

According to a study in 1998, 90% of private substance abuse treatment centres based in the US model their treatment on the 12 steps. The principles have provided a basis for other 12-steps groups with no affiliation to mainstream AA.

THE 12 STEPS

We admitted we were powerless over alcohol - that our lives had become unmanageable

Came to believe that a Power greater than ourselves could restore us to sanity

Made a decision to turn our will and our lives over to the care of God as we understood Him

Made a searching and fearless moral inventory of ourselves

Admitted to God, to ourselves and to another human being the exact nature of our wrongs

Were entirely ready to have God remove all these defects of character

Humbly asked Him to remove our shortcomings

Made a list of all persons we had harmed, and became willing to make amends to them all

Made direct amends to such people wherever possible, except when to do so would injure them or others

Continued to take personal inventory and when we were wrong promptly admitted it

Sought through prayer and meditation to improve our conscious contact with God as we understood Him, praying only for knowledge of His will for us and the power to carry that out

Having had a spiritual awakening as the result of these steps, we tried to carry this message to alcoholics and to practice these principles in all our affairs

Source: Alcoholics Anonymous Great Britain

These include Narcotics Anonymous, the more specific Marijuana Anonymous, Gamblers Anonymous, Workaholics Anonymous and Sexaholics Anonymous.

Clutterers Anonymous deals with those with hoarding problems. Underearners Anonymous offers support for those suffering an ""inability to provide for one's needs"". Support for loved ones of those going through addiction is on offer at Families Anonymous.

On Monday alone there were four Narcotics Anonymous meetings in Manchester, a Marijuana Anonymous meeting in Fitzrovia, central London, and an Overeaters Anonymous session in Cannock. For some of the smaller groups, if there's no dedicated meeting available, addicts are advised to go to AA as a substitute.

Across England, Wales and Scotland, 687 different Alcoholics Anonymous meetings took place on Monday, with 113 chapters coming together in London alone.

""If you look at any 12-step programme, the only significant difference really is the first part of the first step,"" says Peter, who attends AA meetings and organises Emotions Anonymous meetings in the North East of England.

The latter group deals with issues as diverse as low self-esteem, resentment, fear, anger, indecision, perfectionism, forgiveness, depression, grief, shame and anxiety.

""I think there's a fellowship for every particular human condition,"" Peter jokes. ""But I can understand that, because apart from the first part of the first step, the rest of the programme is a programme for living.""

Image copyright Other Image caption AA meeting depicted in the House of Cards

Most fellowships offer Skype sessions, where you'll be greeted in the same way, any hour of the day by welcoming peers always happy to listen, and you'll say the same words: ""My name is… and I'm addicted to …""

""The 12 steps are very applicable to any other addiction,"" says Amy Krentzman of the University of Minnesota's School of Social Work, who has conducted research into Alcoholics Anonymous and other 12-step programmes.

""They modify the language, but it's the same basic programme, the same basic steps, and other people have got well from following them.""

The ""helper"" theory, first coined in the 1960s, helps explain AA's efficacy, says Krentzman. The helper ends up feeling better too. Most, if not all, of those running 12-step groups are themselves undergoing treatment for addiction.

In countless movies and TV shows - from the Sopranos to Mad Men to House of Cards to the West Wing - the sponsor-addict relationship crops up. Sponsors act as a spiritual, emotional and practical guide.

Treatment is always ongoing in AA, unlike some other traditional rehabilitation programmes which offer short programmes followed by the addict coping largely alone.

Marijuana Anonymous has ""exactly the same format"", explains Thomas, a member. ""It has the 12 steps, and various stories that illustrate the practical application of those steps, and stories from people who have gone through the experience and gone sober.""

These spin-off groups are not explicitly endorsed by Alcoholics Anonymous World Services (AAWS), which oversees the organisation's copyrights. But AAWS does grant permission for groups to use the 12 steps.

Image copyright Alamy

And AA's principles are still regularly criticised. Some dislike the quasi-religious element, others the emphasis on complete abstinence rather than the possibility of moderate consumption. There's also a new film - The 13th Step - about sexual assaults carried out by AA members on other members.

But perhaps the greatest criticism is from those who want concrete evidence that this widely accepted programme actually produces results.

""The evidence is that it works very well for some people,"" says Krentzman. A review of scientific studies of Alcoholics Anonymous' success in aiding sobriety in 2006 found that ""no experimental studies unequivocally demonstrated the effectiveness of AA"".

Dr Lance Dodes, a former substance abuse treatment specialist, wrote in a book about 12-step programmes that: ""Alcoholics Anonymous was proclaimed the correct treatment for alcoholism over 75 years ago despite the absence of any scientific evidence of the approach's efficacy, and we have been on the wrong path ever since.""

Another bone of contention is that porting across the 12-step programme to other areas offers cultural legitimacy to the idea of a wide range of compulsions as addictive diseases.

Scientists continue to be divided over whether food addiction really exists. They are torn as to whether sex addiction is real or not. It does not, for example, appear in the American Psychiatric Association's list of mental disorders.

But for many, the programme is effective. Krentzman notes: ""It works because of a psychological process, a social process, a spiritual process. Because of the way it gives people a sense of community and knowing other people who have the same problem.""

That's something Jennifer, who attends Overeaters Anonymous, agrees with. She joined the group in 2008, when she was 37 years old and 17-and-a-half stone. Today, she is at a more manageable weight, and attributes that to her ongoing relationship with the fellowship of overeaters.

""When I'd been to therapists and they were telling me to try things, they had no experience of it themselves,"" she says. ""There's something about one addict helping another addict. There was an authenticity to what they were saying.""

""It's a very simple programme for complicated people,"" Thomas says, ""and it seems to withstand a lot of questioning from outside and within, which can't be said for a lot of rehab philosophies.""

In the AA meeting in Newcastle, 40 people sit and share stories of addiction. Aftewards, there are firm handshakes and friendly conversations - smiles and shared jokes.

One by one, they file out the door into the crowds toting shopping bags, looking like anyone else. But in their mind, they carry an extra weight with them throughout the week.

Some names have been changed

Subscribe to the BBC News Magazine's email newsletter to get articles sent to your inbox.","['groups', 'anonymous', 'steps', 'programme', 'alcoholics', '12step', 'meeting', 'aa', '12', 'addiction', 'copied']","But Peter hasn't tasted alcohol in 34 years, and he attributes his sobriety to Alcoholics Anonymous.
Today, there are 115,326 Alcoholics Anonymous groups in 175 different countries, according to the group's latest estimates, with more than two million members.
On Monday alone there were four Narcotics Anonymous meetings in Manchester, a Marijuana Anonymous meeting in Fitzrovia, central London, and an Overeaters Anonymous session in Cannock.
Across England, Wales and Scotland, 687 different Alcoholics Anonymous meetings took place on Monday, with 113 chapters coming together in London alone.
These spin-off groups are not explicitly endorsed by Alcoholics Anonymous World Services (AAWS), which oversees the organisation's copyrights.",https://www.bbc.com/news/magazine-33049093,https://ichef.bbci.co.uk/news/1024/media/images/83490000/jpg/_83490210_alexsopranos_cutnew.jpg
What happens in an Alcoholics Anonymous meeting?,"Members of Alcoholics Anonymous are marking its 75th anniversary, but what really goes on inside the group's meetings?","['Finlo Rohrer', 'Bbc News']",None,"Image caption The true nature of alcoholism is a controversial subject

Members of Alcoholics Anonymous are marking its 75th anniversary, but what really goes on inside the group's meetings?

David looks, in a word, respectable.

Bespectacled, and in a polo shirt and khaki shorts, he could be any respectable middle-aged man.

He sits in a circle of other respectable-looking people in a church hall in a well-to-do part of Washington. Without knowing the context, as he prepares to speak, one might guess that this was a heritage group, ready to save a historic warehouse, or a meeting of concerned residents, demanding traffic-calming measures.

Instead, when David opens his mouth, he starts to talk about his first use of drugs at the age of 12.

Later he talks about his conscious decision to drink himself to death.

Easy eloquence

There is the revelation of small-time drug smuggling trips to South America and a life of profound lows.

But he has an easy eloquence.

""I have fond memories of the moronic quality of being drunk,"" he says.

People do feel shame and guilt when they do things that are bad - in AA you learn to be shameless and guiltless Jack Trimpey , Rational Recovery

""My story is getting far away mentally. It is almost like the Peloponnesian War now.""

The others in the group also speak enthusiastically, talking of trials and tribulations, of their relationship to drink and how they came to be part of AA.

One gum-chewing, room-dominating woman contrasts life as a high-powered sober Washingtonian with her previous pre-AA life in a series of expansive arm gestures. Another man quietly and movingly recounts his son's troubles with the law.

It's impossible to say whether these individuals were always raconteurs or whether their storytelling matured as they took the 12 Steps.

'Higher power'

Certain lines provoke laughter in the group.

""The only thing I knew for sure about my problem was it wasn't a drinking problem,"" deadpans one man. ""I knew you had to drink too much to have a drinking problem and I could never drink enough.""

Image caption The AA dates its foundation to its co-founder's last drink

There are other phrases that are reverentially repeated. Life became ""unmanageable"" and a ""higher power"" has been at work.

A 70-year-old salesman talks about a life where money was made in computers but years were lost to vodka.

A woman talks of her travels and a reassuring fact. ""There are rooms like this all over the world where crazy people get to talk.""

Of the 11 men and three women in the room, eight have been sober for more than 20 years.

And their meeting is in a long tradition that stretches back to 10 June 1935, to the day Robert Smith - better known as Dr Bob - had his last drink. He had been working with AA co-founder Bill Wilson, now usually referred to as Bill W.

Fictional depictions

The organisation they created has helped millions give up drinking and rebuild their lives.

And the meetings, with the 12-Step Programme that is at the heart of AA, are familiar even to those who have had nothing to do with the group.

The higher power is not just the god of your understanding it is the people in the room Stan, Recovering alcoholic

Countless depictions on film and television have familiarised people with what goes on at the meetings and the familiar formulation ""I'm X and I'm an alcoholic"".

The organisation has its critics. There are those who disagree with the founding idea that alcoholism is a disease, a compulsion that the individual can do nothing about.

Others dislike the Christian nature of the group. The 12 Steps talk of God ""as you understood him"".

Jack Trimpey, who runs his own programme Rational Recovery, is a trenchant critic.

""We do object that it is a bad religion, one in which people profess powerlessness against their bodily desires. We are not powerless. We have a moral duty to cease and desist once it is shown.

""It has been a massive inversion of public thinking that has entered the mainstream media.

""People do feel shame and guilt when they do things that are bad. In AA you learn to be shameless and guiltless.""

He prefers to call himself a former ""bad drunk"" and speaks of an alternative approach that calls for ""zero tolerance in the family"".

Having been sober for many year, he dislikes the typical AA attitude towards that.

""It's not an accomplishment - common decency is no accomplishment.""

Image caption Concerns about binge drinking are now common to much of the world

But for the people at the AA meetings, common decency - and everything else good in life - is an accomplishment.

Jonathan speaks of the single day in 1987 when he first had a moment of happiness. And he knows how it must be maintained.

""I pray and I meditate, and I couple that with working with other alcoholics.""

People at the group seem to have no problem with the varied application of the religious element of AA. There are atheist and agnostic groups, but it's hard to get away from the references to God in the 12 Steps that are at the heart of AA.

The softly-spoken Stan explains: ""The higher power is not just the god of your understanding, it is the people in the room.""

And those other people are the key, one woman admits.

""It works because everything I attempted to do about drinking by myself never worked.

""By coming into AA I was able to get support to not drink - people who think exactly like me, that common bond.""

Names have been changed.","['happens', 'anonymous', 'bad', 'problem', 'alcoholics', 'god', 'meeting', 'drink', 'aa', 'drinking', 'group', 'common', 'life', 'woman']","Image caption The true nature of alcoholism is a controversial subjectMembers of Alcoholics Anonymous are marking its 75th anniversary, but what really goes on inside the group's meetings?
Easy eloquenceThere is the revelation of small-time drug smuggling trips to South America and a life of profound lows.
One gum-chewing, room-dominating woman contrasts life as a high-powered sober Washingtonian with her previous pre-AA life in a series of expansive arm gestures.
""The only thing I knew for sure about my problem was it wasn't a drinking problem,"" deadpans one man.
""I knew you had to drink too much to have a drinking problem and I could never drink enough.""",https://www.bbc.com/news/10280806,https://ichef.bbci.co.uk/news/1024/media/images/48037000/jpg/_48037129_spilt_thinks_226.jpg
Sir Anthony Hopkins opens up on alcohol battle,"The Oscar-winning star says he was ""disgusted, busted and not to be trusted"" while drinking.",[],None,"Image copyright Greg Doherty / Getty Images Image caption Sir Anthony Hopkins shared advice with students at the University Of California

Sir Anthony Hopkins has opened up on his battle with alcoholism, saying he ""should have died in Wales, drunk or something like that"".

The Oscar-winning star admitted he was ""very difficult to work with"" early in his stage career because he ""was usually hungover"".

He said he turned his life around following a talk with a woman from Alcoholics Anonymous in 1975.

Sir Anthony, 80, was born in Port Talbot but now lives in Los Angeles.

Speaking to about 500 students at the University Of California, the Silence Of The Lambs star discussed his problems with alcohol and the impact it had on his early career.

He said: ""Because that's what you do in theatre, you drink. But I was very difficult to work with, as well, because I was usually hungover.""

Sir Anthony added he had been ""disgusted, busted and not to be trusted"" while he was drinking.

The actor told how he started to change following the talk with the Alcoholics Anonymous woman, who asked him ""why don't you just trust in God?"".

From then on the urge to drink was ""never to return"", he added.

Image copyright Getty Images Image caption Sir Anthony - pictured with Dame Diana Rigg in 1972 - said alcohol affected his early career

Sir Anthony, who was knighted in 1993 for services to the arts, said he got into acting ""because he had nothing better to do"", adding he was ""not at all bright"" in school and was often bullied.

""I believe that we are capable of so much,"" he told the students at the 11th annual Leap, Leadership, Excellence and Accelerating Your Potential conference.

""From my own life, I still cannot believe that my life is what it is because I should have died in Wales, drunk or something like that.""

He now lives in Malibu with his actress wife, Stella Arroyave, and advised students to ""say yes to everything. Say yes and take the risk"".

Sir Anthony is widely considered to be one of the world's greatest living actors and is perhaps best known for his portrayal of cannibalistic serial killer Hannibal Lecter in 1991's The Silence Of The Lambs, its sequel Hannibal and prequel Red Dragon.","['alcohol', 'anthony', 'students', 'hopkins', 'image', 'work', 'sir', 'usually', 'yes', 'opens', 'wales', 'early', 'life', 'woman', 'battle']","Image copyright Greg Doherty / Getty Images Image caption Sir Anthony Hopkins shared advice with students at the University Of CaliforniaSir Anthony Hopkins has opened up on his battle with alcoholism, saying he ""should have died in Wales, drunk or something like that"".
The Oscar-winning star admitted he was ""very difficult to work with"" early in his stage career because he ""was usually hungover"".
He said he turned his life around following a talk with a woman from Alcoholics Anonymous in 1975.
Sir Anthony, 80, was born in Port Talbot but now lives in Los Angeles.
Sir Anthony added he had been ""disgusted, busted and not to be trusted"" while he was drinking.",https://www.bbc.com/news/uk-wales-south-west-wales-44977801,https://ichef.bbci.co.uk/news/1024/branded_news/2559/production/_102716590_anthonyhopkins_getty.jpg
UK Punjabi alcohol support services 'see rise in users',The reports follow a BBC survey suggesting 27% of British Sikhs have a family member with a problem.,"['Anusha Kumar', 'Aidan Castelli', 'Ed Lowther', 'Bbc Digital Pilots']",None,"Image copyright Vik Kainth

Some ethnic minority alcohol support services have seen an increase in inquiries following a BBC survey suggesting that, despite Sikhism forbidding drinking, 27% of UK Sikhs had a family member with a problem.

They reported a rise in contacts from both alcoholics and volunteers.

Nottingham's Bac-In has seen an almost sixfold increase in website hits.

And UK Punjabi services the First Step Foundation and the Shanti Project have also seen an increase in interest.

Sohan Sahota, of Bac-In said: ""Average website hits are around 2,000 a month. We've had over 11,500 hits since the article.""

Image copyright Vik Kainth

Jaz Rai, director of the First Step Foundation, which works with UK Punjabis across England, said it had doubled the size of its weekly support group and was planning a women-only meeting to address the increased demand.

The Shanti Project, which works to provide culturally appropriate services for the Punjabi community in Birmingham, has also seen an increase.

Tina, a British Punjabi mother-of-two, contacted the BBC after reading its coverage of the issue.

The reports resonated very strongly with her own experiences, she said.

Her husband - a heavy drinker - had been emotionally abusive towards her, Tina said, trying to convince her that she was going mad, and taking out loans in her name to finance his drinking after losing his job as a plumber.

""There's so much going on in Asian families that no-one addresses,"" she said. ""I just want our culture to open up.

""People need to wake up and realise that alcohol is poison,"" she said. ""I don't want my kids to go through what I went through. I don't want my daughter to think that it's normal.""

Image copyright Vik Kainth

Sharing stories about addiction can play a key role in the path to recovery, according to Alcoholics Anonymous.

Recovering alcoholic Sanjay Bhandari told the BBC: ""The thing that resonated most with me was to hear other people's stories.

""What they experienced, what it was like, and how things got better gave me hope and inspiration, 'Well I can do that.'""

The BBC's coverage sparked a discussion on social media, involving Sikh MPs, support services, and people directly affected by the issue.

Image copyright Vik Kainth

Talking about the issue openly was a good first step towards challenging cultural norms and tackling the problem head on, said Jasvir Singh, on BBC Radio 4's Thought for the Day programme.

""To overcome any fear of shame, it's important to look at alcohol misuse as a health condition and treat it with empathy and understanding rather than condemnation and judgement of the person or their family.""

Image copyright Vik Kainth

Tina's name has been changed.

If you have been affected by any of the issues discussed in this article, please see the resources listed on BBC Action Line.

Correction: This story originally said a BBC survey had suggested 27% of UK Punjabis had a family member with a drinking problem. This has been amended to reflect the fact this figure relates only to British Sikhs.","['alcohol', 'copyright', 'rise', 'seen', 'users', 'vik', 'punjabi', 'increase', 'bbc', 'services', 'uk', 'support', 'step']","Image copyright Vik KainthSome ethnic minority alcohol support services have seen an increase in inquiries following a BBC survey suggesting that, despite Sikhism forbidding drinking, 27% of UK Sikhs had a family member with a problem.
And UK Punjabi services the First Step Foundation and the Shanti Project have also seen an increase in interest.
The Shanti Project, which works to provide culturally appropriate services for the Punjabi community in Birmingham, has also seen an increase.
Image copyright Vik KainthSharing stories about addiction can play a key role in the path to recovery, according to Alcoholics Anonymous.
The BBC's coverage sparked a discussion on social media, involving Sikh MPs, support services, and people directly affected by the issue.",https://www.bbc.com/news/uk-44009040,https://ichef.bbci.co.uk/news/1024/branded_news/3B99/production/_101175251_preet_3_16_9.jpg
"Young alcoholics cases on rise, survey shows","A third of people contacting Alcoholics Anonymous are under 40 and less than five years sober, a survey shows.",[],None,"Video

A growing number of young people are seeking help for alcohol addiction, Alcoholics Anonymous says.

One in three of those aged under 40 at AA are less than five years sober, a survey by the organisation showed.

It has prompted the AA to change how it works with younger members – including appointing a Young Person’s Liaison Officer and providing more online services.

BBC News spoke anonymously to three young people about their addiction and how they are recovering with AA.

Contact the AA helpline on 0800 9177 650.","['survey', 'showedit', 'rise', 'videoa', 'alcoholics', 'cases', 'younger', 'sober', 'aa', 'young', 'addiction', 'works', 'spoke', 'shows']","VideoA growing number of young people are seeking help for alcohol addiction, Alcoholics Anonymous says.
One in three of those aged under 40 at AA are less than five years sober, a survey by the organisation showed.
It has prompted the AA to change how it works with younger members – including appointing a Young Person’s Liaison Officer and providing more online services.
BBC News spoke anonymously to three young people about their addiction and how they are recovering with AA.
Contact the AA helpline on 0800 9177 650.",https://www.bbc.com/news/av/uk-england-38416940/young-alcoholics-cases-on-rise-survey-shows,https://ichef.bbci.co.uk/news/1024/branded_news/78D9/production/_93173903_alcoholic2.jpg
Eminem celebrates a decade of being sober,The rapper has been clean since the end of 2007.,[],None,"Image copyright Getty Images

Eminem has revealed he's been sober for ten years.

On Saturday, in between headlining Coachella, he posted a photo of himself with an Alcoholics Anonymous coin which signifies sobriety.

""Celebrated my 10 years yesterday,"" the rapper wrote on Instagram - which received more than 1.6 million likes.

Eminem, whose real name is Marshall Mathers, was addicted to prescription medication and nearly died of an accidental methadone overdose in 2007.

At the height of his addiction the rapper was reportedly taking up to 20 pills a day.

The 8 Mile actor credits his children for helping him recover and previously revealed he replaced addiction with exercise.

The 45-year-old said running and working out was key to giving him endorphins, which also meant he managed to sleep.

People tweeted him messages of congratulations, including rapper Royce Da 59.

Other people shared their stories of addiction recovery and pictures of their AA coins.

What is an Alcoholics Anonymous coin?

Also known as AA tokens, recovery medallions, sobriety coins or 24 hour chips - they are given out in the US to people during their journey to overcoming addictions.

They bear the circle and triangle symbol used by Alcoholics Anonymous with the words ""unity"", ""service"" and ""recovery"".

On the one Eminem posted on Instagram, the token has the Roman numeral 'X' in the centre of a triangle - which represents 10 years of being sober.

Follow Newsbeat on Instagram, Facebook and Twitter.

Listen to Newsbeat live at 12:45 and 17:45 every weekday on BBC Radio 1 and 1Xtra - if you miss us you can listen back here.","['anonymous', 'triangle', 'instagram', 'newsbeat', 'decade', 'alcoholics', 'celebrates', 'sober', 'eminem', 'rapper', 'addiction', 'revealed', 'recovery', 'posted']","On Saturday, in between headlining Coachella, he posted a photo of himself with an Alcoholics Anonymous coin which signifies sobriety.
Other people shared their stories of addiction recovery and pictures of their AA coins.
What is an Alcoholics Anonymous coin?
They bear the circle and triangle symbol used by Alcoholics Anonymous with the words ""unity"", ""service"" and ""recovery"".
On the one Eminem posted on Instagram, the token has the Roman numeral 'X' in the centre of a triangle - which represents 10 years of being sober.",https://www.bbc.com/news/newsbeat-43864023,https://ichef.bbci.co.uk/news/1024/branded_news/1C97/production/_100991370_gettyimages-453048640.jpg
Drunk woman drove from Alcoholics Anonymous meeting,The 41-year-old pleaded guilty to driving while eight times over the drink drive limit.,[],None,"A woman has pleaded guilty to being almost eight times the drink drive limit while travelling home from an Alcoholics Anonymous meeting in West Lothian.

Louisa Owen, 41, from Bathgate, was seen staggering out of her silver Audi A3 by neighbours who called the police.

She admitted driving with 172mg of alcohol per 100 millilitres of breath - 7.8 times the legal limit of 22mg.

She was fined £700 and disqualified from driving for two years.

Owen appeared from custody at Livingston Sheriff Court where Sheriff John Cook said the reading was the highest he had seen in a drink driving case.

Owen agreed to pay the fine in monthly instalments of £150.","['anonymous', 'drove', 'west', 'sheriff', 'seen', 'alcoholics', 'driving', 'meeting', 'drink', 'travelling', 'times', 'limit', 'yearsowen', 'drunk', 'woman']","A woman has pleaded guilty to being almost eight times the drink drive limit while travelling home from an Alcoholics Anonymous meeting in West Lothian.
Louisa Owen, 41, from Bathgate, was seen staggering out of her silver Audi A3 by neighbours who called the police.
She admitted driving with 172mg of alcohol per 100 millilitres of breath - 7.8 times the legal limit of 22mg.
She was fined £700 and disqualified from driving for two years.
Owen appeared from custody at Livingston Sheriff Court where Sheriff John Cook said the reading was the highest he had seen in a drink driving case.",https://www.bbc.com/news/uk-scotland-edinburgh-east-fife-43199651,https://www.bbc.co.uk/news/special/2015/newsspec_10857/bbc_news_logo.png?cb=1
Functioning alcoholics on their road to recovery,"Meet a mum, student and city worker who all know what it's like to be a 'functioning alcoholic'.",[],None,"Video

Many people see alcohol as a way to relax and socialise. But for some, it becomes the only way they can get through the day.

Women especially can feel the stigma of admitting they have a problem with drink, so many struggle in secret.

Meet a mum, student, and city worker - now in recovery - who all know what it's like to be a functioning alcoholic.

If you are affected by the issues in this film, there is help available. BBC Actionline has a list of organisations that may be able to help on addiction and suicide.

Produced by Amber Haque

Edited by Richard Kenny","['student', 'socialise', 'functioning', 'alcoholics', 'road', 'stigma', 'struggle', 'worker', 'way', 'help', 'secretmeet', 'recovery', 'videomany', 'suicideproduced']","VideoMany people see alcohol as a way to relax and socialise.
But for some, it becomes the only way they can get through the day.
Women especially can feel the stigma of admitting they have a problem with drink, so many struggle in secret.
Meet a mum, student, and city worker - now in recovery - who all know what it's like to be a functioning alcoholic.
BBC Actionline has a list of organisations that may be able to help on addiction and suicide.",https://www.bbc.com/news/av/stories-47007815/functioning-alcoholics-on-their-road-to-recovery,https://ichef.bbci.co.uk/news/1024/branded_news/154D6/production/_105345278_drink.jpg
'I was told I wouldn't see my 22nd birthday',More UK Punjabis are reportedly seeking alcohol support after a survey found 27% had a family member with a problem.,[],None,"Video

More UK Punjabis are reportedly seeking alcohol support after a BBC survey found 27% had a family member with a problem.

Bhupinder Kullar, also known as Tubsy, said he was told, aged 21, that he would not make his 22nd birthday.

Meanwhile, recovering alcoholic Sanjay Bhandari, said his motivation for addressing his drinking was ""my wife walking out the door"".

According to Jennifer Shergil, an alcohol practitioner, there is still a stigma within the UK Punjabi community around alcohol abuse.

Read Tubsy's story about his struggle with alcohol in Facebook Messenger, or by visiting BBC Asian Network on Facebook and clicking ""Send Message"".

Produced by Aidan Castelli.","['alcohol', 'videomore', 'facebook', 'wouldnt', 'visiting', 'tubsys', 'told', 'bbc', 'walking', 'birthday', 'tubsy', 'uk', 'wife', '22nd']","VideoMore UK Punjabis are reportedly seeking alcohol support after a BBC survey found 27% had a family member with a problem.
Bhupinder Kullar, also known as Tubsy, said he was told, aged 21, that he would not make his 22nd birthday.
Meanwhile, recovering alcoholic Sanjay Bhandari, said his motivation for addressing his drinking was ""my wife walking out the door"".
According to Jennifer Shergil, an alcohol practitioner, there is still a stigma within the UK Punjabi community around alcohol abuse.
Read Tubsy's story about his struggle with alcohol in Facebook Messenger, or by visiting BBC Asian Network on Facebook and clicking ""Send Message"".",https://www.bbc.com/news/av/uk-44056096/i-was-told-i-wouldn-t-see-my-22nd-birthday,https://ichef.bbci.co.uk/news/1024/branded_news/C4B1/production/_101235305_p066n7pc.jpg
