Headlines,Descriptions,Authors,Published_Dates,Articles,Keywords,Summaries
BOOZE RUINS LIVES!,“THE wake-up call for me should have been the day a bullet blew my hat off.”.,Jabu Kumalo,2018-08-15T14:30:02.000Z,##UNCLAIMEDBENEFITS#SUNDEFENDER,"['ruins', 'involved', 'decided', 'mussolini', 'drinking', 'aa', 'day', 'thanks', 'booze', 'hit', 'lives', 'imbizo', 'hat']","He told Daily Sun he sometimes couldn’t believe he was still alive after all the drinking and criminal activities he was involved in.
“There were four of us and we thought he was an easy target because he was with a woman.
“Every time I think about that moment, I sweat a bit.”Mussolini said they later learned the man was a soldier.
He said thanks to AA, he was happy to say he no longer lived a rough and dangerous life.
To show his gratitude, Mussolini and some members of his AA group in Katlehong, Ekurhuleni, will be holding a rally this Saturday."
"ALCOHOLICS, IT'S NEVER TOO LATE!","IF YOU have a drinking problem or you know somebody who has, Uncle Tom’s Hall in Orlando West, Soweto is the best place to be on Saturday.",Jabu Kumalo,2017-10-11T15:30:03.000Z,##UNCLAIMEDBENEFITS#SUNDEFENDER,"['west', 'soweto', 'thought', 'reached', 'visit', 'yearshe', 'problem', 'drinking', 'imbizo', 'group', 'alcoholics', 'late']","IF YOU have a drinking problem or you know somebody who has, Uncle Tom’s Hall in Orlando West, Soweto is the best place to be on Saturday.
The Soweto group of Alcoholics Anonymous will be holding its 35th annual rally.
Members of the community are invited to hear how they can be pulled out of the pit of uncontrollable drinking.
He told the People’s Paper: “I have never missed any imbizo since I stopped drinking after I joined the group.
He emphasised that it is never too late to stop."
NO BOOZE FOR THESE TWO!,SUNDAY was a joyful day as a husband and wife from Soweto shared stories about how they managed to stay away from booze for many years.,Jabu Kumalo,2018-10-03T18:00:10.000Z,##UNCLAIMEDBENEFITS#SUNDEFENDER,"['wife', 'anonymous', 'soweto', 'booze', 'sober', 'times', 'husband', 'imbizo', 'yearsthe', 'alcoholics', 'yearsshe']","SUNDAY was a joyful day as a husband and wife from Soweto shared stories about how they managed to stay away from booze for many years.
The husband hasn’t had a drink since he joined Alcoholics Anonymous 33 years ago, while the wife has been sober for 11 years.
The celebration was a warm-up for the annual Soweto Alcoholics Anonymous imbizo at Uncle Tom’s Hall in Orlando West next Saturday.
The imbizo is the organisation’s way of letting alcoholics know help is available and it’s never too late to quit.
For more information, call Alcoholics Anonymous on 011 027 7132 or 0861 453 722."
my girlfriend drinks too much,"WORRIED LOVER writes: My girlfriend drinks too much.  She complains about her health a lot when she is sober.   SIMPLE, SHE HAS DEEP-ROOTED ISSUES.  The bottle takes it away.",,None,"WORRIED LOVER writes:My girlfriend drinks too much. She complains about her health a lot whenshe is sober. SIMPLE, SHE HAS DEEP-ROOTED ISSUES. The bottle takes it away. Her healthissues could be a sign that drinking affects her health badly. She should KICKIT! -----------------------------------------------------------------------------------------------------------------------------------------------var randomAdNumber = Math.floor((Math.random() * 50000) + 99000000);document.write(""<a href='https://pubads.g.doubleclick.net/gampad/jump?iu=0&sz=1&c=""+ randomAdNumber + ""23' target='_blank'><img src='https://pubads.g.doubleclick.net/gampad/ad?iu=0&sz=1&c=""+ randomAdNumber +""23' border='0' alt='' /></a>"");ALL ALONE writes:My darling, I’m a follower of your column and need your help. I’m havingproblems when it comes to dating. I can’t even spend three months in arelationship and now I fear I’ll die alone. Whenever I raise this issue with myfriends they say I’m too young to worry so much. OMG, THE BIGGEST FEAR OF MY LIFE! Babe, that fear is a bad thing becauseit makes us desperate and constantly puts us in search of something. My dear, love finds you and a soulmate is born for you. When you aredestined to die next to someone, trust me – it will happen! All those wephysically try to keep, forever slip away. Allow the heavens to deal with it. KICK IT! Fear is a disease. -----------------------------------------------------------------------------------------------------------------------------------------------ABUSED writes: I’ve been dating my girlfriend for almost two years.Everything was fine until this year when she started getting violent afterdrinking. It has gotten worse over time. I have two kids and she has one. I’mat a point where I’m saying enough is enough and want to walk away. Her friendsare saying I should stick around to help her. I love her with all I have butlately I’m starting to ask myself if love is enough. She doesn’t admit that shehas problems but blames everyone else. Please, help, before I walk away. YOU ARE BEING ABUSED, BROTHER! I’m really sorry to hear what you are facing.You are dealing with a broken person. Violence is the last resort for many people with a low self-esteem andany person with an addictive personality has a low self-esteem. That can even cause depression. Walking away right now would make you a nasty person. Never kick a manor a woman when they’re down! Why don’t you try giving her an ultimatum and let her make the decisionto shut you out or work onherself and your relationship. Tell her she should seek help from an organisation like AlcoholicsAnonymous – or else go for therapy. Abuse can be experienced by both women ANDmen, and that is definitely the case with you. So brother, if she keeps hurtingyou, KICK IT!- Daily Sun","['love', 'drinks', 'fear', 'im', 'kick', 'help', 'walk', 'writesmy', 'try', 'girlfriend', 'health', 'away']","WORRIED LOVER writes:My girlfriend drinks too much.
-----------------------------------------------------------------------------------------------------------------------------------------------ALL ALONE writes:My darling, I’m a follower of your column and need your help.
-----------------------------------------------------------------------------------------------------------------------------------------------ABUSED writes:I’ve been dating my girlfriend for almost two years.
I’m at a point where I’m saying enough is enough and want to walk away.
Please, help, before I walk away."
A SEASON TO SOBER UP!,MZANSI is known as a nation of boozers.,Sifiso Jimta,2018-09-05T11:30:02.000Z,##UNCLAIMEDBENEFITS#SUNDEFENDER,"['stop', 'started', 'dry', 'wanted', 'soberspringchallenge', 'im', 'help', 'organisation', 'sober', 'wine', 'season', 'janet']","The organisation has launched the #SoberSpringChallenge, during which citizens will be encouraged to stay without their drink for the entire season – or 66 days!
Speaking on a news channel, Janet Gourand said they started the organisation to help people who wanted to quit booze.
“The organisation started four years ago when it became aparent to many of us, including me,” she said.
“I wanted to stop drinking alcohol and I struggled to do so in Mzansi.
“World Without Wine has run a series of campaigns named Dry January and many people decided they wanted other dry campaigns."
BABY MAMA LIKES BOOZE,Dear MizzB.,,None,"Dear MizzBI’m a 24-year-old man and I have a problem. The mother of my child abuses alcohol. I don’t even drink and I’ve spoken to her many times but nothing changes. Please help!READ: START THINKING ABOUT 2018 NOW Dear Brothervar randomAdNumber = Math.floor((Math.random() * 50000) + 99000000);document.write(""<a href='https://pubads.g.doubleclick.net/gampad/jump?iu=0&sz=1&c=""+ randomAdNumber + ""23' target='_blank'><img src='https://pubads.g.doubleclick.net/gampad/ad?iu=0&sz=1&c=""+ randomAdNumber +""23' border='0' alt='' /></a>"");Alcoholism is a very dangerous disease which can destroy lives. As her partner, stop doing things that make her think her behaviour is acceptable. Allow her to see the full consequences of her choices and actions.Keep talking to her about it but be careful not to criticise her because it may make her drink even more. Maintain respect for her and voice your opinions in a caring way. Seek intervention by contacting Alcoholics Anonymous. Send a please call me to 083 323 1023 or email mizzb@lovelife.org.za- Daily Sun","['talking', 'stop', 'drink', 'likes', 'things', 'think', 'mama', 'voice', 'booze', 'thinking', 'start', 'way', 'times', 'baby']","I don’t even drink and I’ve spoken to her many times but nothing changes.
READ: START THINKING ABOUT 2018 NOWDear BrotherAlcoholism is a very dangerous disease which can destroy lives.
As her partner, stop doing things that make her think her behaviour is acceptable.
Keep talking to her about it but be careful not to criticise her because it may make her drink even more.
Maintain respect for her and voice your opinions in a caring way."
Follow Kuli on Twitter:@kuliroberts,CAN married men please spend Valentine’s Day with their wives this year.,,None,"CAN married men please spend Valentine’s Day with their wives this year.Valentine’s Day is on Wednesday and single women seem more desperate, than usual, to have a date on a week night.So desperate to be paired and seem wanted, they’ll resort to having meals with complete strangers they chose from the internet.So desperate are women for a lay, I hear some attend Alcoholics Anonymous meetings just to meet people of the opposite sex.var randomAdNumber = Math.floor((Math.random() * 50000) + 99000000);document.write(""<a href='https://pubads.g.doubleclick.net/gampad/jump?iu=0&sz=1&c=""+ randomAdNumber + ""23' target='_blank'><img src='https://pubads.g.doubleclick.net/gampad/ad?iu=0&sz=1&c=""+ randomAdNumber +""23' border='0' alt='' /></a>"");“It’s crazy how hot men with alcohol issues are once you have cleaned them up,” adds my friend, while sipping on a mochito.Wow! Ladies stop panicking, as there are escort agencies you can call since you are so desperate to be seen with good-looking men. You can hire a man you know. Especially if you don’t have one, but want one for pictures and company.You could always pose next to a hot stranger in a restaurant, if you have to have a picture.Church is another place you’re likely to find a kind and godly young man willing to have a free meal.Look, I don’t get why ladies are so desperate to be paired up, but stay away from the usual suspects:Look ladies, I still don’t know why you are so desperate to be wooed, taken out and fed when it’s so nice indoors and it’s a week night.Also, can all the men who believe they’ve made it in life please just stay at home with their wives this Valentine’s Day and evening. Bathe her, feed her and concentrate solely on her.Happy Valentine’s Day, sexy! You don’t need a man.- Sunday Sun","['follow', 'desperate', 'kuli', 'dont', 'valentines', 'man', 'date', 'day', 'twitterkuliroberts', 'ladies', 'men', 'wives', 'away']","CAN married men please spend Valentine’s Day with their wives this year.
Valentine’s Day is on Wednesday and single women seem more desperate, than usual, to have a date on a week night.
So desperate to be paired and seem wanted, they’ll resort to having meals with complete strangers they chose from the internet.
Also, can all the men who believe they’ve made it in life please just stay at home with their wives this Valentine’s Day and evening.
Happy Valentine’s Day, sexy!"
COPS BUST BOOZE THIEVES!,THE two thugs wanted to show their friends they could party and drink expensive booze all day.,Doreen Mokgolo,2016-02-26T10:00:00.000Z,##UNCLAIMEDBENEFITS#SUNDEFENDER,"['thugs', 'started', 'suspects', 'stolen', 'residents', 'heard', 'booze', 'cops', 'selling', 'partying', 'bust', 'expensive', 'thieves', 'tavern']","THE two thugs wanted to show their friends they could party and drink expensive booze all day.
They didn’t have any money to buy good alcohol, so they robbed a local tavern of its expensive whiskies.
But when they started selling the top booze at rock bottom prices, residents smelled a rat and reported them to the cops.
The two boozing buddies took the stolen liqour and started throwing parties, flaunting their stolen goods to their friends.
But by Saturday morning, the community was gatvol of their non-stop partying and boozing and called the cops."
NAIR MAY GO FOR MENTAL HEALTH CHECK!,HE called President Cyril Ramaphosa the k-word in a widely circulated Facebook video.,Sun Reporter,2018-10-02T09:34:03.000Z,##UNCLAIMEDBENEFITS#SUNDEFENDER,"['court', 'district', 'sent', 'mental', 'napier', 'nair', 'evidence', 'fort', 'check', 'nairs', 'health', 'surgeon']","Govender argued that Nair should be treated as an in-patient at Fort Napier.
The district surgeon had found that Nair showed no signs of mental illness but recommended that he should be sent to Fort Napier for 28 days, the court heard.
Krishnan told the court that he noticed ""changes"" in Nair's mental state when he visited him at Westville prison on ""numerous occasions"".
""The district surgeon is incompetent to do a mental observation, has no qualifications to deal with someone's mind and lacked expertise to make such an assessment.
The district surgeon recommended that the accused be sent to Fort Napier but found that he had no signs of mental illness, which is contradictory,"" argued Gounden."
XOLANI RAN 90KM ON HIS CRUTCHES,"HE STARTED the race in the middle of the night, facing 90km of tarred road and relying on his crutches and his will to succeed.",CHARLES BALOYI,2018-06-12T12:00:25.000Z,##UNCLAIMEDBENEFITS#SUNDEFENDER,"['took', '90km', 'crutches', 'started', 'lived', 'venter', 'saw', 'young', 'stadium', 'xolani', 'ran', 'life']","HE STARTED the race in the middle of the night, facing 90km of tarred road and relying on his crutches and his will to succeed.
Amputee Xolani Luvumo, a 34-year-old weekend athlete who works at a perfume factory in Pretoria, completed his first Comrades Marathon, running on crutches with only one leg.
After his gogo died, young Xolani lived with his uncle.
Venter was driving home one night and saw Xolani.
Venter said: “I saw Xolani on crutches and I decided to give him a chance."
