Headlines,Descriptions,Authors,Published_Dates,Articles,Keywords,Summaries,Source_URLs,Image_URLs
Alcoholics Anonymous: The helping hand for addicts,,[],2016-05-03 03:24:00,"What begins as social drinking turns into alcoholism for many, but there are many who want to come out of it.

Bengaluru: Sitting at one of the quiet corners of Stracey Memorial High School, a group of about thirty addicts gather late in the evenings to discuss one of the most debilitating issues of all ---alcoholism. What begins as social drinking turns into alcoholism for many, but there are many who want to come out of it.

""I was the General Manager at a company until alcoholism gripped me and I was forced to leave the job,"" says 46-year-old Gnaneswar, who has not touched any alcohol for the past six years. ""I haven't even taken a sip of beer in the last 6 years as I am completely out of it,"" says Gnaneswar, who is an active member of Alcoholics Anonymous, Bangalore and helps other alcoholics get rid of this problem.

This group is not a rehabilitation centre or an NGO, but just a fellowship of men and women who share their experiences, strength and hope with each other, so that they may solve their common problem and help others recover from alcoholism too. At the age of forty, Gnaneshwar became an alcoholic and was told to leave the house many times.

""For me back then alcohol was a religion and I would even lie to get things done my way. I would do it for money as well. All I cared about was drinking,"" says Gnaneswar. His addiction cost him his job, his family and his friends. ""I still remember the day when I was hospitalized and my father asked me to leave the house as he’d had enough. On the third day, a few people from this group met me and the rest is history!""

But he is not alone in the journey to get rid of this addiction. ""There are people who have not touched alcohol for thirty years and they help one another. But the first step is acceptance. “Only if the alcoholic accepts his condition will we include him into the group, where we don't charge anyone a single penny.""

There are 72 centres across the city, which conduct sessions from 7 pm to 8 pm and each centre witnesses around 30 to 40 alcoholics. ""We have teenagers and senior citizens attending our sessions,"" says Gnaneswar. Every single alcoholic who has fully recovered tries to reach out to others as well.","['alcoholism', 'touched', 'addicts', 'gnaneswar', 'leave', 'group', 'turns', 'helping', 'alcoholic', 'drinking', 'alcoholics', 'anonymous', 'alcohol', 'hand']","What begins as social drinking turns into alcoholism for many, but there are many who want to come out of it.
What begins as social drinking turns into alcoholism for many, but there are many who want to come out of it.
""I haven't even taken a sip of beer in the last 6 years as I am completely out of it,"" says Gnaneswar, who is an active member of Alcoholics Anonymous, Bangalore and helps other alcoholics get rid of this problem.
""There are people who have not touched alcohol for thirty years and they help one another.
There are 72 centres across the city, which conduct sessions from 7 pm to 8 pm and each centre witnesses around 30 to 40 alcoholics.",https://www.deccanchronicle.com/lifestyle/health-and-wellbeing/030516/alcoholics-anonymous-the-helping-hand-for-addicts.html,https://dc-cdn.s3-ap-southeast-1.amazonaws.com/dc-Cover-p8rp7fqeclv6fva32ie69903g1-20160503032417.Medi.jpeg
"AA reaches out to schools now, rural men in TN drink more",,[],2018-08-01 06:15:00,"Thanjavur: It will be startling to note that the age where someone gets their first taste of alcohol has reduced drastically over the past 12 years in India from 21 to 18 and is now at 13. This is no doubt a matter of concern. Coordinators of ‘Alcoholic Anonymous’, a support group to help people to come out of their drinking problem, said that AA is now holding public awareness meetings in schools also besides colleges because of of this startling report.

AA has even been suggested by courts as co-therapy or follow up counseling. AA is an International fellowship of men and women who have once had a drinking problem. It is a non-professional, self-supporting, non denominational, apolitical and available almost everywhere. Membership is open to anyone who wants to do something about his or her drinking problem.

As per statistics of union health ministry, Telangana stands at top among southern states when it comes to consumption of alcohol. 53.9 per cent of men and 8.8 per cent of women across Telangana consume alcohol. Consumption is higher in rural areas than in towns and cities.

Consumption of alcohol is also high in Tamil Nadu. In rural areas 47.4 per cent of men consume alcohol and in urban areas 46 per cent of men consume alcohol. With respect to women consumption is less with 0,5 per cent in urban areas and 0.3 per cent in rural areas. (In agitations against Tasmac, women are in the forefront in Tamil Nadu). Consumption of alcohol is the lowest in Kerala among southern states. 40.8 per cent of men consume alcohol in urban areas in Kerala and 32.8 per cent in rural areas according to ministry's statistics.","['schools', 'drink', 'areas', 'women', 'cent', 'aa', 'drinking', 'alcohol', 'tn', 'rural', 'reaches', 'men', 'consume', 'consumption', 'urban']","53.9 per cent of men and 8.8 per cent of women across Telangana consume alcohol.
Consumption is higher in rural areas than in towns and cities.
In rural areas 47.4 per cent of men consume alcohol and in urban areas 46 per cent of men consume alcohol.
With respect to women consumption is less with 0,5 per cent in urban areas and 0.3 per cent in rural areas.
40.8 per cent of men consume alcohol in urban areas in Kerala and 32.8 per cent in rural areas according to ministry's statistics.",https://www.deccanchronicle.com/nation/current-affairs/010818/aa-reaches-out-to-schools-now-rural-men-in-tn-drink-more.html,https://s3.ap-southeast-1.amazonaws.com/images.deccanchronicle.com/dc-Cover-vlcuoq1cj9i0am6iuhun6m5hp5-20180627020427.Medi.jpeg
"The chat room: ‘Not prohibition, rehab is the answer to alcoholism’",,[],2016-05-22 05:53:00,"Last week, Samrat Chadha, one of the head honchos at the UB Group, drove his BMW into an autorickshaw, injuring three people. After hours of negotiation with the police, he was made to take an alcometer test, which proved positive. With drunken driving incidents like these on the rise - a number of them fatal - and more and more states taking to the idea of prohibition, is it time for Karnataka to follow suit?

A counsellor for rehab inmates and long-time member of Alcoholics Anonymous rubbished the idea at once. Suresh (name changed) chose to remain anonymous, in keeping with the group's policy, but said, ""That's quite stupid. The state would lose out on a lot of revenue. And the bottom line is that it would only hit the poor man. The rich, like Samrat Chadha, will not be affected by it at all. They know how to procure alcohol and can afford to pay for it.""

Chadha, he said, exhibits definite signs of a drinking problem — ""He doesn't know his limits, clearly. This is the second stage of the disease, when the alcoholic begins blacking out. When they are under the influence, they have no idea what they are doing, lose their sense of judgment and don't remember it the next day.""

Today's lifestyle, Suresh explained, has a big role to play in these incidents. Drinking is now a celebrated part of our culture and is an almost inextricable part of meeting ""social commitments."" It's up to the individual, he explained, to know his limits. The effects, of course, are mostly visible among the wealthier sections of society - ""A man who doesn't own a car will end up in a brawl on the streets or at home. The principle is the same, though. You don't know what you're doing and the next day, you're wondering what on earth happened.""

Not everybody who drinks has a problem, of course and Alcoholics Anonymous has stats at the ready to back this. ""Out of a 100 people who drink, 10 are problem drinkers,"" Suresh said. ""Out of those ten, three will turn into alcoholics."" And it's unfair to blame the condition on anybody else, he added. ""The blame game can go on and on - your boss fired you, so you drink. Your wife didn't listen to you, so guess what - you drank! Every alcoholic has a thousand excuses to have a drink and it's upto him to come to terms with it.""

Still, the fact that money is easy to come by these days has played a major role in the drinking culture we see today. ""Everyone can afford to go out for a drink - or three. It's a part of office life as well - corporate companies need to spread awareness among their employees. Alcohol is a fashion statement.""

The onus cannot be lifted entirely from the government, even if prohibition is not the answer - ""I might be an A.A. member, but that doesn't mean I'm against drinking,"" Suresh remarked, with a laugh. ""Still, the government can spread awareness and work with groups like A.A. - who will help for free, by the way. We need more stringent rules in place."" Getting caught for driving drunk means a fine, yes, but that's the end of that and it simply won't do.

""Every time a case of drunken driving or domestic abuse brought on by alcohol is reported in the station, cops should know what to do. Sending people to rehab or to A.A. meetings for a stipulated time period should become part of the system. That's how things are done in the West and it works very well. But we, as a society, don't understand the meaning or the implications of alcoholism."" Far from recommending an A.A. meeting to a repeat offender, cops, he said, respond with, ""Did the wine shop invite these people to drink'? That's the kind of reaction we get, even though we don't charge any money for what we do.""

Very little government funding goes into long term plans, Suresh added. ""You have departments like the Welfare Board, which don't do anything. They're just a farce and completely politically motivated. If a little bit of the money allocated to them was put to the use for which it was intended, society would come a long way.”","['alcoholism', 'thats', 'chat', 'money', 'drink', 'dont', 'answer', 'know', 'aa', 'drinking', 'rehab', 'suresh', 'society', 'problem', 'prohibition', 'room']","Chadha, he said, exhibits definite signs of a drinking problem — ""He doesn't know his limits, clearly.
You don't know what you're doing and the next day, you're wondering what on earth happened.""
The onus cannot be lifted entirely from the government, even if prohibition is not the answer - ""I might be an A.A. member, but that doesn't mean I'm against drinking,"" Suresh remarked, with a laugh.
Sending people to rehab or to A.A. meetings for a stipulated time period should become part of the system.
But we, as a society, don't understand the meaning or the implications of alcoholism.""",https://www.deccanchronicle.com/nation/current-affairs/220516/the-chat-room-not-prohibition-rehab-is-the-answer-to-alcoholism.html,https://dc-cdn.s3-ap-southeast-1.amazonaws.com/dc-Cover-qvktfctlea2au4dg9iuk6lkb00-20160522055157.Medi.jpeg
Pooja Bhatt will write on her struggle with alcoholism in tell-all book,,[],2018-03-16 00:07:00,"Filmmaker and former actress Pooja Bhatt is on a new journey — that to quit alcohol. By her own admission, she had been addicted earlier, but has been sober for a while now. She even spoke extensively about her struggle with alcoholism a few months ago.

Now, Pooja, who is a success story in herself, will soon be releasing her book, which will speak about her battle with alcohol, but she has clearly stated that this isn’t her autobiography.

Adds a source, “The book, which has still not been titled, will widely speak about her journey through drinking and alcoholism. While Pooja and her father have never been to rehab to quit alcohol, they’ve frequently been spotted at Alcoholics Anonymous meetings, trying to talk to people on how to kick the bottle.”

Mahesh Bhatt famously quit drinking, after finding dirt on his face on a then-Bombay pavement 28 years ago, and Pooja quit drinking 14 months ago. She even took to Twitter to share the news of her having completed 445 days of sobriety.

“Thank you Lord for the courage to say NO and for the capacity to be able to start all over again if necessary. 445 days sober today & counting. Gratitude for the resilience and strength bestowed with every new step I take! #sobriety #recovery #claimyourjourney (sic),” she wrote.

Known to speak her mind from a very early age, Pooja became Bollywood’s youngest producer at the age of 23, when most other actresses were busy pursuing their acting ambitions.","['alcoholism', 'quit', 'journey', 'bhatt', 'pooja', 'struggle', 'book', 'speak', 'drinking', 'alcohol', 'sober', 'write', 'months', 'tellall', 'days']","Filmmaker and former actress Pooja Bhatt is on a new journey — that to quit alcohol.
By her own admission, she had been addicted earlier, but has been sober for a while now.
She even spoke extensively about her struggle with alcoholism a few months ago.
Adds a source, “The book, which has still not been titled, will widely speak about her journey through drinking and alcoholism.
445 days sober today & counting.",https://www.deccanchronicle.com/entertainment/bollywood/160318/pooja-bhatts-tell-all-book-on-kicking-the-bottle.html,https://s3.ap-southeast-1.amazonaws.com/images.deccanchronicle.com/dc-Cover-t7s8tco59o7tjpisjfql7rrre6-20170224103506.Medi.jpeg
Goa Minister Ramesh Tawadkar plans ‘cure’ units for LGBTs,,[],2015-01-13 13:30:00,"Panaji: Goa’s sports and youth affairs minister Ramesh Tawadkar on Monday said the government was planning to set up centres to administer treatment to the LGBT youths to make them “normal”.

He was speaking to reporters after launching the state government's youth policy. “We will make them (LGBT youth) normal. We will have a centre for them. Like Alcoholic Anonymous, we will have centres. We will train them and give them medicines too,” he said. The policy lists LGBT (lesbian, gay, bisexual and trans-gender) community among the stigmatised groups that need attention.

“A detailed survey would be carried out on the LGBT community so that their problems could be addressed,” he added.

The BJP refused to comment on the statement. “I am not aware of the statement and in what context he made it,” said Goa BJP spokesperson Dr Wilfred Mesquita.

This is ridiculous, its like we're moving backwards: Rituparna (LGBT rights activist) on Ramesh Tawadkar's statement pic.twitter.com/98IK6FiQd1 — ANI (@ANI_news) January 12, 2015","['wilfred', 'ramesh', 'tawadkar', 'centres', 'units', 'cure', 'lgbts', 'policy', 'community', 'statement', 'minister', 'bjp', 'lgbt', 'youths', 'youth', 'goa', 'plans']","Panaji: Goa’s sports and youth affairs minister Ramesh Tawadkar on Monday said the government was planning to set up centres to administer treatment to the LGBT youths to make them “normal”.
He was speaking to reporters after launching the state government's youth policy.
“We will make them (LGBT youth) normal.
“A detailed survey would be carried out on the LGBT community so that their problems could be addressed,” he added.
This is ridiculous, its like we're moving backwards: Rituparna (LGBT rights activist) on Ramesh Tawadkar's statement pic.twitter.com/98IK6FiQd1 — ANI (@ANI_news) January 12, 2015",https://www.deccanchronicle.com/150113/nation-current-affairs/article/goa-minister-ramesh-tawadkar-plans-%E2%80%98cure%E2%80%99-units-lgbts,https://s3.ap-southeast-1.amazonaws.com/cdn.deccanchronicle.com/sites/default/files/India-Gay-Parade_Kand-(4)_0_1.jpg
Got 'Drunchies'? That's why you're packing on the pounds,,[],2018-08-09 15:20:00,"If a person drinks five beers, it accounts for third of their daily energy intake. (Representational Image)

Drunchies, or the desire to eat salty, unhealthy foods after a night of heavy drinking, may be contributing to the obesity epidemic among college students, scientists say.

Researchers from University at Buffalo in the US decided to look at a sample of 286 college students to better understand how drinking affects what they eat, both that night and for their first meal the next day when, most likely, they are hungover.

""Given the obesity epidemic and the rates of alcohol consumption on college campuses, we need to be aware of not only the negative effect of alcohol consumption, but also the impact it has on what people are eating while they are drinking,"" said Jessica Kruger, an assistant professor at the University at Buffalo.

Research on the effects of drinking and diet is scarce, Kruger said, adding that eating more unhealthy foods following alcohol consumption is an often overlooked behaviour in traditional addiction research.

The inspiration for the study, published in the Californian Journal of Health Promotion, came from an ad researchers saw in a university newspaper.

""It said, 'Got Drunchies?' and had ads for pizza, tacos, and other fast-food places that were open late after the bars closed,"" Kruger said.

An average beer contains 150 calories. If a person drinks five beers, it accounts for third of their daily energy intake. Add two slices of pizza or a burrito to that at the end of the night, and it's a recipe for weight gain, she said.

""So, we dug a bit deeper and first figured out what the 'drunchies' were, and then decided this would be interesting to study,"" Kruger said.

Study participants were asked to complete an anonymous online survey.

Researchers found that drinking influenced study participants' dietary behaviours before going to bed.

All alcohol drinkers were more likely to eat something before they went to bed after drinking alcohol than in general before they go to bed.

Specifically, they were more likely to opt for salty snack foods and pizza. Healthy foods, such as dark green vegetables and other veggies they would ordinarily eat, were not as appealing.

Of particular concern, the researchers noted, was the fact that participants did not report drinking more water or other non-alcoholic beverages before bed.

That exacerbates dehydration, which may lead to additionally unhealthy food choices.

The following day after drinking, participants' dietary patterns varied from the night before. They were less likely to skip meals the morning after a night of drinking compared to a typical morning.

They favoured foods like pizza or tacos over milk and dairy products and grains, most likely because of the so-called hangover cures that get passed down to students and which entail eating foods that ""soak up"" the alcohol.

Dispelling these myths is one way to promote a healthy diet even after a night of binge drinking, Kruger said.","['thats', 'night', 'likely', 'pizza', 'participants', 'eat', 'youre', 'drinking', 'kruger', 'alcohol', 'foods', 'pounds', 'packing', 'university', 'drunchies']","and had ads for pizza, tacos, and other fast-food places that were open late after the bars closed,"" Kruger said.
All alcohol drinkers were more likely to eat something before they went to bed after drinking alcohol than in general before they go to bed.
The following day after drinking, participants' dietary patterns varied from the night before.
They were less likely to skip meals the morning after a night of drinking compared to a typical morning.
Dispelling these myths is one way to promote a healthy diet even after a night of binge drinking, Kruger said.",https://www.deccanchronicle.com/lifestyle/health-and-wellbeing/090818/got-drunchies-thats-why-youre-packing-on-the-pounds.html,https://s3.ap-southeast-1.amazonaws.com/images.deccanchronicle.com/dc-Cover-giv2p3h6imccbb4b7u3hc1crk6-20180516023838.Medi.jpeg
Will Arnett relapsed,,[],2016-04-02 00:27:00,"Will Arnett, who used to be alcoholic and was sober for 15 years, revealed in an interview with The Hollywood Reporter that he relapsed while he was busy writing and shooting his semi-autobiographical show Flaked.

“As I was writing all this s*** (on Flaked) and I started shooting it, I started getting confused about where I was at. It became this tough, uncomfortable process, and because I was putting a lot of stuff about my own life in there, I noticed it really starting to affect my mood and my behaviour,” he said. However, he has since re-joined Alcoholics Anonymous and is now sober again.","['arnett', 'started', 'stuff', 'starting', 'semiautobiographical', 'relapsed', 'shooting', 'used', 'tough', 'sober', 'writing', 'uncomfortable']","Will Arnett, who used to be alcoholic and was sober for 15 years, revealed in an interview with The Hollywood Reporter that he relapsed while he was busy writing and shooting his semi-autobiographical show Flaked.
“As I was writing all this s*** (on Flaked) and I started shooting it, I started getting confused about where I was at.
It became this tough, uncomfortable process, and because I was putting a lot of stuff about my own life in there, I noticed it really starting to affect my mood and my behaviour,” he said.
However, he has since re-joined Alcoholics Anonymous and is now sober again.",https://www.deccanchronicle.com/entertainment/hollywood/020416/will-arnett-relapsed.html,https://dc-cdn.s3-ap-southeast-1.amazonaws.com/dc-Cover-0kre82j3a5rndeumh1sk0goj42-20160401223905.Medi.jpeg
UN chief Ban Ki-moon accuses India of intolerance with gay sex ban,,[],2015-01-13 16:57:00,"U.N. Secretary-General Ban Ki-moon addresses the media during his visit to the Sabarmati Ashram, from where Mahatma Gandhi had launched several anti-British movements, in Ahmadabad, India, Sunday, Jan. 11, 2015. Ban is in the country on a four-day

New Delhi: United Nations chief Ban Ki-moon has accused India of fomenting intolerance with its ban on gay sex amid uproar over a ruling party minister's plans to make homosexuals ""normal"".

Speaking on a visit to New Delhi, Ban said he ""staunchly opposed the criminalisation of homosexuality"" referring to India's colonial-era law that prohibits gay sex.

""I am proud to stand for the equality of all people -- including those who are lesbian, gay, bisexual and transgender,"" the UN secretary general said in a statement late Monday.

""I speak out because laws criminalising consensual, adult same-sex relationships violate basic rights to privacy and to freedom from discrimination. Even if they are not enforced, these laws breed intolerance.""

India's Supreme Court re-imposed a ban on gay sex in late 2013, ruling that the responsibility for changing the 1861 law rested with lawmakers and not judges.

Gay sex had been effectively legalised in 2009 when the Delhi High Court ruled that banning ""carnal intercourse against the order of nature"" was a violation of fundamental rights.

Ban's comments came on the same day that a state minister from Indian Prime Minister Narendra Modi's ruling party announced his plans to make gays ""normal"" in the coastal resort state of Goa.

Ramesh Tawadkar, sports and youth affairs minister in Goa's state government, told reporters that he planned to open up centres on the lines of Alcoholics Anonymous to treat them.

""We will make them normal. We will have centres for them, like Alcoholic Anonymous centres,"" Tawadkar said, adding that the state would ""train them and give them medicines too"".

Tawadkar, a member of Modi's Bharatiya Janata Party (BJP), made the comments after releasing the state's policy on youth issues which listed lesbians, gays, bisexuals and transgenders as a stigmatised group that needed attention.

His comments drew widespread criticism and ridicule from gay rights groups and social media with jeering remarks posted on Twitter.

""There has to be someone from the higher authorities... from the BJP who will have to speak up on this because when you are silent about someone making such an irresponsible statement you are actually admitting it,"" Harish Iyer, a gay rights activist, told NDTV news channel.","['intolerance', 'gay', 'ban', 'kimoon', 'state', 'india', 'party', 'ruling', 'accuses', 'rights', 'minister', 'sex', 'chief', 'comments', 'delhi']","Ban is in the country on a four-dayNew Delhi: United Nations chief Ban Ki-moon has accused India of fomenting intolerance with its ban on gay sex amid uproar over a ruling party minister's plans to make homosexuals ""normal"".
Speaking on a visit to New Delhi, Ban said he ""staunchly opposed the criminalisation of homosexuality"" referring to India's colonial-era law that prohibits gay sex.
India's Supreme Court re-imposed a ban on gay sex in late 2013, ruling that the responsibility for changing the 1861 law rested with lawmakers and not judges.
Gay sex had been effectively legalised in 2009 when the Delhi High Court ruled that banning ""carnal intercourse against the order of nature"" was a violation of fundamental rights.
His comments drew widespread criticism and ridicule from gay rights groups and social media with jeering remarks posted on Twitter.",https://www.deccanchronicle.com/150113/nation-current-affairs/article/un-chief-ban-ki-moon-accuses-india-intolerance-gay-sex-ban,https://s3.ap-southeast-1.amazonaws.com/cdn.deccanchronicle.com/sites/default/files/banki_0.jpg
Problem drinking starts before military deployment,,[],2016-05-08 11:57:00,"Just under 39 percent of the sailors and marines reported hazardous drinking before deployment, a study says. (Photo: Pixabay)

Binge drinking and alcoholism is a big issue in the U.S. Navy and Marine Corps, and the problem may begin even before sailors and marines deploy, a recent study suggests.

More than a quarter of sailors and marines who were anonymously surveyed within two weeks before their deployment admitted to binge drinking regularly, and nearly 40 percent reported dangerous drinking. A small but significant number also reported that they had been drugged against their will.

Previous research has focused on the drinking habits of military personnel while deployed or after returning home. Little is known about drinking in the period before reporting for duty, the researchers write in the American Journal of Preventive Medicine.

That period could be a time of higher stress and people may drink more because they will not be able to drink while aboard ship, the researchers write. “This is a time of major transition away from family, friends and important social support networks,” said coauthor Dr. Braden Hale, program manager at the Department of Defense’s HIV/AIDS Prevention Program.

Hale told Reuters Health by email that screening for alcohol abuse before deployment could allow people to be identified and helped earlier. The study team used data on 2,351 male and female shipboard personnel collected between 2012 and 2014.

Participants gave anonymous reports about hazardous drinking, including how often they drank and how often they had more than six drinks at a time. They also answered questions about alcohol dependency, including physical cravings for it, and binge drinking, defined as having more than four drinks for women and more than five for men during a typical day of drinking.

The researchers also asked if participants had ever been “roofied,” or had their drinks spiked. Overall, 79 percent of the subjects were men and around 85 percent were in the Navy. Just over 12 percent were under the age of 21.

Just under 39 percent of the sailors and marines reported hazardous drinking before deployment. This was significantly higher for men, at 40 percent, than for women, at 34 percent. Thirty-six percent of those under age 21 had engaged in hazardous drinking.

Twenty-seven percent reported binge drinking. This too was more common for men, at nearly 30 percent, than for women, at 20 percent. Overall, close to 15 percent were dependent on alcohol: nearly 17 percent of men and 7 percent of women. Personnel between the ages of 17 and 20 were more likely to report being dependent on alcohol.

Few of the sailors and marines reported taking recreational drugs, but 7 percent had been given a drug against their will. The percentages were about equal between men and women.

“These findings confirm there is a culture of drinking, including underage drinking, among Marines and Navy members that needs to be addressed,” said Mary Jo Larson, a senior scientist at Brandeis University’s Institute for Behavioral Health who studies military drinking.

“The consequences include injuries, fights, car crashes and unwanted sexual contact, including rape,” said Larson, who was not involved in the study.

Larson noted that commanding officers are notified when service members seek treatment for drinking, which may discourage people who need help from seeking it.

“The take away is that the Navy and Marines must establish additional effective prevention programs, which send a strong message that those that need medical help can receive it confidentially,” she said by email.

In order to prevent short- and long-term harms from alcohol abuse, Hale calls for “screening, intervention and care before deployment for shipboard personnel who may be engaging in hazardous or dependent alcohol use.”","['starts', 'marines', 'military', 'deployment', 'women', 'drinking', 'alcohol', 'personnel', 'problem', 'men', 'sailors', 'reported', 'hazardous']","Just under 39 percent of the sailors and marines reported hazardous drinking before deployment, a study says.
More than a quarter of sailors and marines who were anonymously surveyed within two weeks before their deployment admitted to binge drinking regularly, and nearly 40 percent reported dangerous drinking.
Participants gave anonymous reports about hazardous drinking, including how often they drank and how often they had more than six drinks at a time.
Just under 39 percent of the sailors and marines reported hazardous drinking before deployment.
Thirty-six percent of those under age 21 had engaged in hazardous drinking.",https://www.deccanchronicle.com/lifestyle/health-and-wellbeing/080516/problem-drinking-starts-before-military-deployment.html,https://dc-cdn.s3-ap-southeast-1.amazonaws.com/dc-Cover-p0vere6u09jemgfdmnlvfphi60-20160508115510.Medi.jpeg
Pregnant woman who drink could be charged with ‘crime of violence’,,[],2014-11-27 17:20:00,"London: A British court is to rule on whether a woman committed a ""crime of violence"" against her child by drinking heavily during pregnancy, in a case that has raised concerns about criminalizing mothers.



A local authority is applying to the government's criminal compensation authority for damages on behalf of a seven-year-old girl in its care who has severe alcohol-related disabilities.



Its lawyers have told the Court of Appeal that her mother was ""reckless"" in her behaviour by drinking up to half a bottle of vodka and eight cans of strong lager a day while she was pregnant.



While they do not suggest the damage was deliberate, they say she discussed her drinking with professionals and ""went on to take the risk"".



The case, in which a ruling is expected next week, has sparked heated debate over the dangers of alcohol and the rights of women and foetuses in a country where abortion has been legal since 1967.



Women's rights groups have warned that it risks opening the door to police action against pregnant women as is increasingly happening in the United States.



""The case is of profound social significance,"" said the British Pregnancy Advisory Service and Birthrights charities.



""If the court were to interpret the law as requested by the council, it would establish a legal precedent which could be used to prosecute women who drink while pregnant.""



However, some commentators say it is a no-brainer.



""What about the rights of the little girl in this case whose life is forever blighted because of what her mother did?"" wrote one furious writer in the Daily Mirror tabloid.



80 cases waiting in the wings



The Court of Appeal judgement will cap a five-year legal battle between the council and the Criminal Injuries Compensation Authority (CICA).



CICA considers applications for damages involving behaviour that could constitute a crime, in this case the alleged reckless administration of a noxious substance to the foetus.



In the latest stage of the proceedings in December, a judge ruled in CICA's favour and said the foetus was not a person until birth and could not be a victim of crime.



This ruling is now being appealed, with 80 similar claims for compensation waiting on the outcome.



Neil Sugarman, one of the plaintiff's lawyers, denies the case could move Britain closer to prosecuting pregnant women.



""We are not for a minute suggesting that will or ought to happen here,"" he told AFP.



But he acknowledged the whole issue was ""fraught"" with complications, not least because drinking alcohol in itself is not a crime.



""Would it have been different if a woman had said she'd decided to take tonnes of salt and the salt had damaged the child?"" he asked.



'Would I have stopped drinking?'

The girl, known only as CP, has a severe form of foetal alcohol spectrum disorder (FASD), an umbrella term which covers a range of disorders varying from reduced intellectual ability to heart and kidney problems.



But campaigners say it remains misunderstood and the British government's advice on drinking in pregnancy has been accused of being contradictory.



""No mother drinks intentionally to harm her child,"" said Susie Fleisher, who set up the FASD support group NOFAS-UK after her adopted daughter was diagnosed.



""A woman who has issues with alcohol should have support and not be thrown in prison.""



Linda, a 49-year-old from London, was drinking eight or nine cans of lager a day when she was pregnant with her two eldest children, both in their 20s now.



She had only heard about FASD in passing and says she was offered no support to give up alcohol.



Her first daughter was fine but her second was born with the telltale distorted facial features and now has trouble socializing, controlling her temper and concentrating.



""Telling a mum is not enough. They need to be helped and supported,"" said Linda, who asked to remain anonymous.



She opposes criminalizing pregnant mothers, but acknowledges that some custodial rehabilitation might have helped her.



""I was dependent on alcohol. I needed alcohol. I couldn't get through the day without it.



""Had I been warned of all the potential dangers and then sent home, would I have stopped? Probably not. Not without help.""","['support', 'say', 'drink', 'court', 'violence', 'pregnant', 'women', 'crime', 'rights', 'drinking', 'charged', 'alcohol', 'case', 'woman']","London: A British court is to rule on whether a woman committed a ""crime of violence"" against her child by drinking heavily during pregnancy, in a case that has raised concerns about criminalizing mothers.
Women's rights groups have warned that it risks opening the door to police action against pregnant women as is increasingly happening in the United States.
Neil Sugarman, one of the plaintiff's lawyers, denies the case could move Britain closer to prosecuting pregnant women.
But he acknowledged the whole issue was ""fraught"" with complications, not least because drinking alcohol in itself is not a crime.
""A woman who has issues with alcohol should have support and not be thrown in prison.""",https://www.deccanchronicle.com/141127/world-europe/article/pregnant-woman-who-drink-could-be-charged-%E2%80%98crime-violence%E2%80%99,https://s3.ap-southeast-1.amazonaws.com/cdn.deccanchronicle.com/sites/default/files/smoking_1_2.jpg
