Headlines,Descriptions,Authors,Published_Dates,Articles,Keywords,Summaries,Source_URLs,Image_URLs
Alcoholics Anonymous News and Updates from The Economic Times,Alcoholics Anonymous News and Updates from The Economictimes.com,[],None,"Tilaknagar industries under I-T scanner for alleged tax evasion 25 Sep, 2013, 10.45AM IST The company used fake bills to inflate its capital outlay for claiming the status that makes it eligible for sales tax subsidy of about Rs 250 crore.

Liquor marketer Bacardi adds a plus to become more masculine 29 Feb, 2012, 04.47AM IST The family-controlled spirits firm says unlike Breezer, Bacardi+ is a large peg of the eponymous rum premixed with either lemonade or cola.

The mystery of Japanese mirin in kitchen 5 Jul, 2013, 04.25AM IST Mirin, a liquid used in Japanese cooking that is vaguely described as sweet cooking spirit, Japanese rice wine, sweet sake.

Making hair while the sun shines: GCPL gets Kareena Kapoor to give add some lustre 24 Aug, 2016, 05.17AM IST GCPL led by the mass market driven Godrej Expert is readying itself for a shift of sorts, to the premium end of the haircolour market.

50% hike in prices of hard drinks like whisky, gin, rum in Delhi 15 Jun, 2012, 07.13AM IST Hard drinks such as whisky, gin, brandy, rum and vodka will cost more as excise duty on alcohol has been increased by 50%.

Archaic laws putting liquor business in poor spirits: Restaurateurs 24 Sep, 2013, 06.11AM IST The excise department in Delhi, for instance, posts a notice outside a restaurant inviting objections from the public before granting a liquor licence.

Of foot-in-mouth asanas and record-chasing governments 21 Jun, 2015, 11.43AM IST International Day of Yoga never had much to do with yoga. It was always more about the churning PR wheel of the government.

Toll in hooch tragedy climbs to 35; excise officials suspended 19 Oct, 2013, 11.49AM IST With 15 more deaths reported early Saturday, the toll rose to 37 in the illicit liquor tragedy in Uttar Pradesh's Azamgarh district.

Dutch beer giant Heineken appoints JM Financial to help increase stake in United Breweries 15 Mar, 2016, 06.39AM IST Mallya, his family members and associate companies together own 32.89% of the company and 47.68% of that is pledged, according to data sourced from BSE.

Diageo would take 30 years to build United Spirits' network: Samar Singh Sheikhawat, United Breweries 6 Jan, 2013, 05.49AM IST It would take Diageo 30 years to build United Spirits' network

40 Bengaluru clubs stare at dry days in festive season after security guard’s tiff with IPS officer 6 Dec, 2014, 04.00AM IST Excise Department officials have found violations in 40 clubs, officials say, adding that notices had been issued or would soon be sent.","['economic', 'japanese', 'updates', '15', 'alcoholics', 'anonymous', 'officials', 'ist', 'liquor', 'spirits', 'times', 'united', 'yoga', 'rum', 'excise']","Liquor marketer Bacardi adds a plus to become more masculine 29 Feb, 2012, 04.47AM IST The family-controlled spirits firm says unlike Breezer, Bacardi+ is a large peg of the eponymous rum premixed with either lemonade or cola.
The mystery of Japanese mirin in kitchen 5 Jul, 2013, 04.25AM IST Mirin, a liquid used in Japanese cooking that is vaguely described as sweet cooking spirit, Japanese rice wine, sweet sake.
Of foot-in-mouth asanas and record-chasing governments 21 Jun, 2015, 11.43AM IST International Day of Yoga never had much to do with yoga.
It was always more about the churning PR wheel of the government.
Toll in hooch tragedy climbs to 35; excise officials suspended 19 Oct, 2013, 11.49AM IST With 15 more deaths reported early Saturday, the toll rose to 37 in the illicit liquor tragedy in Uttar Pradesh's Azamgarh district.",https://economictimes.indiatimes.com/topic/Alcoholics-Anonymous/news/5/5,https://img.etimg.com/photo/49057298.cms
"Substance abuse disorder directly affects kidney & brain; can further cause anxiety, paranoia, delusions","Multiple factors come into play, which decide whether someone becomes an addict or not.",[],2018-06-26 13:26:00+00:00,"When Celebrities Chug More Than They Can Handle! Wayne Rooney, And Other Stars Arrested For... of 7 Next Prev







Play Slideshow Kocktails With Khloé 2 Sep, 2017 Khloé Kardashian What would an internet article be without a mention of the Kardashians? Kardashian was arrested in LA in 2007 for drink-driving at the age off 24. She was sentenced to 30 days in jail, but was released after only three hours because the system works. Khloé Kardashian What would an internet article be without a mention of the Kardashians? Kardashian was arrested in LA in 2007 for drink-driving at the age off 24. She was sentenced to 30 days in jail, but was released after only three hours because the system works. Hair-raising Heiress 2 Sep, 2017 Paris Hilton The only thing less shocking than the fact that Paris Hilton has a drinking under influence case, is the fact that her music career never took off. She was chased down by the ole flashing lights of Los Angeles in 2007. Paris Hilton The only thing less shocking than the fact that Paris Hilton has a drinking under influence case, is the fact that her music career never took off. She was chased down by the ole flashing lights of Los Angeles in 2007. Fast and Furious 2 Sep, 2017 Michelle Rodriguez Rodriguez served jail time in Honolulu after her 2005 arrest. She claims she had only learned to drive for a ""racing project"" (which we assume was 'The Fast and The Furious') and then she got 'Lost'. Get it? She was on 'Lost'. (Image: Facebook) Michelle Rodriguez Rodriguez served jail time in Honolulu after her 2005 arrest. She claims she had only learned to drive for a ""racing project"" (which we assume was 'The Fast and The Furious') and then she got 'Lost'. Get it? She was on 'Lost'. (Image: Facebook) Transformer Trouble 2 Sep, 2017 Shia LaBeouf LaBeouf was arrested in 2008 for drink-driving when he rolled his car into another vehicle resulting in minor injuries. He has since claimed to have transformed into a significantly better role model. (Image: Facebook) Shia LaBeouf LaBeouf was arrested in 2008 for drink-driving when he rolled his car into another vehicle resulting in minor injuries. He has since claimed to have transformed into a significantly better role model. (Image: Facebook) One Tequila, Two Tequila 2 Sep, 2017 Sam Sheperd Finally, a playwright makes the tabloids! By 2007, playwright Sam Shepard had an Oscar, a Pulitzer, and a driving under the influence of alcohol case, after his 2007 arrest. To be fair, he claims he only had two tequila shots. It was also 7:45pm, and he acted in 'The Notebook'. Sam Sheperd Finally, a playwright makes the tabloids! By 2007, playwright Sam Shepard had an Oscar, a Pulitzer, and a driving under the influence of alcohol case, after his 2007 arrest. To be fair, he claims he only had two tequila shots. It was also 7:45pm, and he acted in 'The Notebook'. Next

Amit’s addiction story started with his college friends telling him to try a shot of alcohol at a wedding “just one time”, followed by peer pressure to “smoke only when you are drinking”. He discovered that drinking and smoking relieved the stress of cramming for exams, dealing with family issues and keeping up with his ‘cool’ college gang. And in just a few months, the one shot of alcohol turned to several glasses a day, followed by the need to smoke a couple of cigarettes every hour, resulting in loss of health, while burning a massive hole in his pocket.Multiple factors come into play, which decide whether someone becomes an addict or not.Dr H Chandrashekar, head of the department of psychiatry at Victoria Hospital, Bengaluru, says that while addiction usually runs in the family, the cause is multifactorial and varied, and cannot be attributed to one single reason.“One study found that addiction among children of alcoholic parents was three-four times higher when compared to other children,” he says. “It is also found that a dopamine-dependent reward pathway present in the brain is more active in persons exhibiting addictive behaviour. Patients suffering from personality disorders or psychiatric illnesses are more susceptible to addiction. Inability to confer to social norms, defiant behaviour and the resulting ostracisation can make one dependent on substances and sustain its abuse,” he says.Dr Jyoti Kapoor, senior psychiatrist at Gurugram-based Paras Hospitals, says the causes could be psychological, such as stress, anxiety, emotional issues, depression and psychosis; environmental, such as drug availability, peer pressure and social sanction; and genetic — epidemiological studies of twins and families have demonstrated a genetic contribution of 30-60% in developing addiction.“Substance abuse disorders are classified in medical science as an illness but the society still looks at them as a characterological trait that the sufferer is solely responsible for. Although sociocultural factors play a significant role in substance-use behaviour, genetic and biological influences can’t be discounted. These factors make an individual vulnerable to addiction and develop the mental and behavioural disorders related to substance use,” she says.Dr Kamna Chhibber, head of mental health at the department of mental health and behavioural sciences at Delhi-based Fortis La Femme, says poor family support, the need to look ‘cool’, challenging circumstances, poor coping abilities, weak problem-solving abilities, poor self-control and a desire to escape problems instead of solving them are also factors.The term addiction is used only when the individual cannot continue to lead his/her life without the consumption of the substance, says Chhibber.“They require increased amounts of the substance with time. The continued and consistently increasing consumption of the substance disrupts normal life, causing individuals to neglect other activities in favour of taking the drugs ,” she says.According to Kapoor, every substance has the potential to harm the body if used in excess.“Excessive use of alcohol causes adverse effects on the liver, stomach, pancreas, brain and nerves, resulting in associated medical conditions like liver cirrhosis, pancreatitis, memory disturbances, seizures, psychiatric illnesses and peripheral neuropathy. Other common drugs similarly affect various body organs, especially the liver, kidney and brain. Needle-users are at a risk of damage to blood vessels, leading to blocked blood vessels (thrombophlebitis), endocarditis and infections like hepatitis and HIV. Drugs also cause inhibition of immune system with an increased risk of infection, slowing of the gastrointestinal system, increased somnolence, respiratory depression, increased risk of seizure, increased risk of accidents and nutritional deficiencies,” she says.The withdrawal effects of drugs have further physical effects ranging from severe anxiety to disorientation, delirium and central nervous system side effects, she says.Apart from the physical effects, “psychosocial consequences include precipitation of psychiatric illnesses like anxiety or panic attacks, depression, paranoia, obsessions and delusions. Interpersonal relationships are affected, leading to further isolation and reliance on drug addicts and drug peddlers. Academic and professional downfall is a direct consequence of increased preoccupation with drug use and effects of drugs”, she says.Amit's situation worsened to such an extent that days and nights merged into one and his life would not go forward without cigarettes and alcohol. He was in no position to understand that this wasn't normal. His addiction was controlling his life.According to Chhibber, the use of a substance that you are not in control of warrants treatment.“If you notice that you have a lot of craving and urge to consume a substance, that you are not able to go on with life without consuming it regularly, that you need more quantities of the substance to feel good, the lack of availability of the substance affects your mood or interferes with your daily life and functioning, that consumption of the substance happens at the cost of your work and personal life, you need to seek help,” she says.Apart from that, if you notice yourself neglecting responsibilities at home, school or work, losing interest in activities you once enjoyed, withdrawing from friends and family, increasingly neglecting personal hygiene or trying to hide the extent of your drug or alcohol use from others, it is time to consult a professional, says Kapoor.Dr Faiyaz Ali Maniyar, senior consultant physician at Bengalurubased Primecare Hospital, says it is always better to take professional help with the support of family members to treat addiction.“A high-quality treatment programme will begin with a medical detox to address physical dependence and restore brain functioning back to normal. Various alternative and traditional therapies are available, which identify underlying issues, identify and change unhealthy ways of thinking and behaving, and come up with strategies to help cope with cravings and other triggers,” he says. “There are also self-help organisations like Alcoholics Anonymous and Narcotics Anonymous, as well as religious and moralistic paths that could be useful.”In Amit's case, it was a friend's mother who noticed that he had become irregular in his visits to their house and decided to find out what was wrong. In denial at first, Amit went into a shell. It was only after constant prodding, without making him feel guilty, that she got the facts out. After that, a combination of treatment paths put him on the track to normalcy.While Chhibber says abstinence from the consumption of substances is the key to preventing addictions, Kapoor says awareness and education are vital.“Addiction needs to be understood and accepted as an illness so that susceptible individuals can come forward for education and help. Curtailing availability of substance with a stringent execution of the law is important. Drug peddlers target schools and young adolescents as they are the most susceptible. Parents and teachers need to be educated to identify and handle these issues. Being punitive towards students who have been found to be experimenting with alcohol, cigarettes or drugs only shoves the dirt under the carpet. One needs to empathise and understand their issues to guide them. School counsellors have a major role to play here,” says Kapoor. “Identifying vulnerable population with a family history of substance abuse or other psychiatric problems is also imperative in starting early intervention.”Addiction need not just be substance addiction. Behavioural addiction refers to conditions where a person engages in a certain type of behaviour repeatedly, even if the behaviour causes harm. Common behavioural addictions include gambling addiction, shopping addiction, hoarding, internet addiction, smartphone addiction, gaming addiction, sex addiction and porn addiction. However, experts continue to debate the existence, the diagnostic criteria and possible treatments for these conditions.- Sudden changes in mood and behaviour- Staying aloof and being disinterested- Sudden change in academic/ work performance- Needing extra money consistently- Consistently having bloodshot eyes, dilated or constricted pupils- Drastic weight loss over a short period of time- Evidence of drug use on the body, such as needle marks- Hostility when confronted about drug use- Disinterest in personal hygiene and grooming- Shakiness or tremors- Unable or unwilling to quit using drugs and alcohol despite financial, family, health and legal problems- Encourage the individual to seek help and work on the problem- Be empathic: Guilt prevents people from opening up to others who may judge or criticise them. Addicts feel a lack of control over their behaviour and thus, feel helpless. They need to be assured that help is available- Help them stay away from people and situations where there is a chance of consuming a substance- Support them by working in accordance with the suggestions of the expert being consulted- Withdrawal symptoms can be dangerous by themselves, so talk to a professional and get the right care","['affects', 'drug', 'brain', 'anxiety', 'behaviour', 'alcohol', '2007', 'family', 'drugs', 'cause', 'substance', 'disorder', 'help', 'paranoia', 'directly', 'delusions', 'addiction', 'kidney', 'need']","She was sentenced to 30 days in jail, but was released after only three hours because the system works.
“It is also found that a dopamine-dependent reward pathway present in the brain is more active in persons exhibiting addictive behaviour.
“Identifying vulnerable population with a family history of substance abuse or other psychiatric problems is also imperative in starting early intervention.”Addiction need not just be substance addiction.
Behavioural addiction refers to conditions where a person engages in a certain type of behaviour repeatedly, even if the behaviour causes harm.
Common behavioural addictions include gambling addiction, shopping addiction, hoarding, internet addiction, smartphone addiction, gaming addiction, sex addiction and porn addiction.",https://economictimes.indiatimes.com/magazines/panache/substance-abuse-can-harm-in-multiple-ways-causes-prevention-and-treatment/articleshow/64744593.cms,"https://img.etimg.com/thumb/msid-64744689,width-1070,height-580,imgsize-30892,overlay-etpanache/photo.jpg"
Goa minister Ramesh Tawadkar takes a U-turn after facing flak for LGBT remarks,"After his controversial remarks over the LGBT community drew flak, Goa minister Ramesh Tawadkar today did a u-turn over the issue saying he was misunderstood and misquoted on the issue.",[],2015-01-13 13:46:00+00:00,"PANAJI: After his controversial remarks over the LGBT community drew flak, Goa minister Ramesh Tawadkar today did a u-turn over the issue saying he was misunderstood and misquoted on the issue.""I was misunderstood and misquoted. I was not talking about the LGBT (youths) but about drug addicted and sexually abused youths,"" Tawadkar told PTI, even as local channels continued to air the footage where he assured medical treatment to make LGBT youths ""normal"".""Youth policy speaks about drug addicted youths and sexually abused youths as a focused group. There are provisions in the central government sponsored Social Justice Scheme for such youths which can be implemented in Goa,"" the minister said, a day after he was widely criticised for his statements.He said when journalists asked me about LGBTs, I told them ""I am not expert on the issue.""The minister also refused to acknowledge LGBT as a focused group, though the youth policy document which is currently in public domain has mentioned them as one.""We will make them normal. We will have a centre for them. Like Alcoholic Anonymous centres, we will have centres. We will train them and give them medicines too,"" the minister had said.""Like in the case of other target groups such as juvenile offenders, drug afflicted youth, marginalised or migrant youth, geographically disadvantaged youth, a detailed survey would be carried out among state LGBT community, so that their problems could be specifically addressed,"" he had added.","['youths', 'remarks', 'flak', 'takes', 'drug', 'tawadkar', 'told', 'ramesh', 'youth', 'policy', 'uturn', 'minister', 'goa', 'misunderstood', 'lgbt', 'sexually', 'facing']","PANAJI: After his controversial remarks over the LGBT community drew flak, Goa minister Ramesh Tawadkar today did a u-turn over the issue saying he was misunderstood and misquoted on the issue.
I was not talking about the LGBT (youths) but about drug addicted and sexually abused youths,"" Tawadkar told PTI, even as local channels continued to air the footage where he assured medical treatment to make LGBT youths ""normal"".
""Youth policy speaks about drug addicted youths and sexually abused youths as a focused group.
""The minister also refused to acknowledge LGBT as a focused group, though the youth policy document which is currently in public domain has mentioned them as one.
We will train them and give them medicines too,"" the minister had said.",https://economictimes.indiatimes.com/news/politics-and-nation/goa-minister-ramesh-tawadkar-takes-a-u-turn-after-facing-flak-for-lgbt-remarks/articleshow/45868225.cms,"https://img.etimg.com/thumb/msid-45868254,width-1070,height-580,imgsize-51400,overlay-economictimes/photo.jpg"
,,,,,,,https://economictimes.indiatimes.com/tech/internet/hackers-group-anonymous-shut-down-british-home-office-website/articleshow/12579652.cms,
LGBT row: NCP seeks resignation of 'ignorant' Goa minister,"""CM should sack the ignorant minister. The future of youths in the state is at stake in the hands of the current youth affairs and sports minister,"" D'Mello said.",[],2015-01-14 18:27:00+00:00,"PANAJI: Even as Chief Minister Laxmikant Parsekar is trying to put a lid on a controversy triggered after the remarks made by his deputy on 'normalising' LGBT community, opposition NCP today demanded resignation of the ""ignorant"" Sports and Youth Affairs Minister Ramesh Tawadkar ""Chief Minister should sack the ignorant minister. The future of youths in the state is at stake in the hands of the current youth affairs and sports minister,"" state unit NCP spokesman Trojano D'Mello told reporters here.Parsekar, while seeking to defuse the controversy, had yesterday said the minister must be ""ignorant"" about the issue and that the lesbian, gay, bisexual and transgender (LGBT) community's sexual preferences were ""natural"".Referring to Parsekar's statement, D'Mello said, ""the CM has defended his own minister by claiming that he (minister) must be ignorant about LGBT.""Tawadkar kicked up a storm on Monday by stating that the BJP government has decided to set up a centre to treat the LGBT community to make them ""normal"".""We will make them (LGBT youth) normal. We will have a centre for them. Like Alcoholic Anonymous centres, we will have centres. We will train them and give them medicines too,"" Tawadkar had said after launching the Youth Policy.As his comments drew a sharp rebuke from various quarters, the minister yesterday retracted his statement, saying he was ""misunderstood"" and ""misquoted"".Parsekar later clarified that no plans are afoot to set up any such centre.The Youth Policy speaks about drug addicted and the sexually abused youths as a focused group.","['youths', 'yesterday', 'statement', 'seeks', 'state', 'ncp', 'tawadkar', 'ignorant', 'youth', 'minister', 'goa', 'resignation', 'row', 'lgbt', 'set']","PANAJI: Even as Chief Minister Laxmikant Parsekar is trying to put a lid on a controversy triggered after the remarks made by his deputy on 'normalising' LGBT community, opposition NCP today demanded resignation of the ""ignorant"" Sports and Youth Affairs Minister Ramesh Tawadkar ""Chief Minister should sack the ignorant minister.
""Tawadkar kicked up a storm on Monday by stating that the BJP government has decided to set up a centre to treat the LGBT community to make them ""normal"".
""We will make them (LGBT youth) normal.
We will have a centre for them.
Like Alcoholic Anonymous centres, we will have centres.",https://economictimes.indiatimes.com/news/politics-and-nation/lgbt-row-ncp-seeks-resignation-of-ignorant-goa-minister/articleshow/45887533.cms,"https://img.etimg.com/thumb/msid-45887533,width-1070,height-580,imgsize-62510,overlay-economictimes/photo.jpg"
,,,,,,,https://economictimes.indiatimes.com/articleshow/827314.cms,
Utterly Butterly Blissful,"Since I write in CD, it might be assumed I’m in favour of more professional management. And so I am, but I must admit that in one category I have my doubts. These are the...",['Vikram Doctor'],2010-02-26 00:00:00,"Since I write in CD, it might be assumed I’m in favour of more professional management. And so I am, but I must admit that in one category I have my doubts. These are the clubs and gymkhanas scattered across India, relics of the Raj, now colonised by the Indian middle classes. It’s true these were probably never very professionally run (despite the valiant efforts of many ex-army officer managers), and over time standards have slipped, so some degree of refurbishment and professionalization is welcome.



But how far? A large part of the appeal of the clubs has been their unique atmosphere and in the rush to rejuvenate this risks getting lost. Its one thing to modernise the plumbing (much needed in some cases) and enable WiFi, but its quite another to turn their characteristic teakwood interiors into the sort of anonymous hospitality spaces that can be found in any hotel – which, ironically, are often installing wood panelling and call their bars ‘clubs’, to create the kind of atmosphere that clubs have naturally.



Perhaps the saddest signs of ill-judged modernisation are to be found on the menus. A lot of clubs these days have outsourced catering to local contractors and while this has had some good results, like more Indian food, all too often it comes at the cost of junking many beloved club dishes. Many of these were deeply connected to the history of these clubs, since they were the home dishes of the British, whose cooking is much mocked by those who don’t know how simply satisfying they can be. Where are the shepherd’s pie, the Welsh rarebits and rugby stews? Where are the open beef sandwiches soaked in gravy, in fact, where is anything with gravy? And where, above all, is the perfect buttered toast?



The British have always had a special claim on buttered toast. It is not unique to them, since wherever there is bread gone stale, and which needs reheating, then toast will appear, and quite often butter too, to lather on while the toast is still hot, so that it melts and soaks in, to provide the perfect rich moistness to the crisp dry bread. Yet the British have always appropriated it quite as arrogantly as the Duke of Wellington did in 1814 when he landed in Dover after six years of fighting Napoleon, and ordered that the inn where he was staying had give an unlimited supply of buttered toast. In innumerable British books and memoirs you will find the Duke’s privilege reasserted – whatever else might be on the menu, there had to be lots of buttered toast.



Some argue that this was simply because of the damp British climate – hot toast was a restorative, both eaten by itself, or dunked in liquids of varying degrees of alcoholic strength, from where we get the concept of drinking toasts. Damp British bread was also a cause; where the French baguette is a light loaf, more crust than crumb and meant to be eaten soon, British breads have been heavier and moister, and are also baked less frequently. Kitchens always had a supply of slightly stale bread, so toasting was natural, on the open fires that the British also maintained.



Making toast, in fact, often moved out of the kitchens – since cold toast is an abomination, people realised the best thing to do was make it themselves. Children were often given the simple task of holding the toasting forks that put the slices of bread near the fire; as a job it was just exacting enough for them, involving cautious rotation and vigilance to make sure the slices didn’t burn – and it had the bonus of being able to eat the results. Toast was also one of the first solid foods fed to children, and all this combined to give it a particularly nostalgic value. John Betjeman, the poet of British nostalgia, used it to sum up a child’s world, “Safe, in a world of trains and buttered toast…”



It’s more than history though. Toast requires effort (you can buy bread, but have to make toast), and so it stands for care. The American food writer John Thorne recalled a story of a very poor mother in New York who once could only feed her children toast for a week; it haunted him both for the deprivation it depicted, and also the mother’s love: “there might be nothing but the cheapest sandwich loaf to eat, but she would at least make it into toast.” Nigel Slater, the British chef, titled his brilliant autobiography Toast for his mother, who died while he was young. A memory of her starts the book, of her scraping the burned part from toast for him: “it is impossible not to love someone who makes toast for you…”



Not that it’s easy. Slater admits his mother nearly always burned the toast, and for something so simple, good toast can be really hard to make. Proof of this is in the amazing number of machines invented to make it – at the Toaster Museum’s website (www.toaster.org) you will find an extraordinary range of machines in every kind of material and design, and yet it is still hard to find a good toaster. The ones I’ve used always either clog up with breadcrumbs that can’t be cleaned, burn toast or don’t cook it enough, can’t fit slices of the right size or just breakdown. These days I just make my toast on a tawa (good for a very slight charring that adds to the toast) or in the oven (good for an overall crispness).



Another complication is how thick to make toast. I like both really thin toast, like Melba toast, and also really thick slices – what doesn’t work are standard bread slices (which is all most toasters are designed for). Thin toast is all crisp perfection, whereas thick toast reverses the staling process in which starch molecules in the bread steadily lose their moisture and dry out. As Harold McGee explains, when you toast bread “water molecules move in between the starch molecules, and the granules and amylose gels become tender again. This is why toasting sliced bread makes the interior soft.” Thick toast gives you two great textures: crisp exterior, soft, warm interior, both just waiting for the blessing of butter.



This is another complication: butter before toasting or after? Buttering before makes sense when, as in India, butter is usually refrigerated and hard, so putting scrapings on bread and then grilling the two allows both melting and toasting to take place together. (Putting butter on the tawa and then the bread is too close to frying to be toasting). On the other hand, if the butter is soft enough, its better to put it on the warm bread and dreamily watch it melt till its ready to eat. One thing though I believe in strongly: our salty Indian butter is really ideal for making rich, tasty buttered toast.



With so many complications it can be a headache to do at home, and this is why I’ve always valued the buttered toast in clubs. Just sitting in their calm premises and ordering tea and toast is one of the most soothing things I know. This is why I was so worried when the club I go to most often changed caterers and for a while all I got was just tough slices of standard bread with barely any butter. Finally though things fell into place, and the proper toast appeared – thick, soaked in butter, and cut in three strips, two crunchy with crusts, but the best in the centre, demurely crustless, but crisp and bathed in butter. Bliss was back with buttered toast.

","['toasting', 'good', 'clubs', 'toast', 'buttered', 'slices', 'thick', 'butter', 'butterly', 'bread', 'british', 'blissful', 'utterly']","And where, above all, is the perfect buttered toast?
Slater admits his mother nearly always burned the toast, and for something so simple, good toast can be really hard to make.
As Harold McGee explains, when you toast bread “water molecules move in between the starch molecules, and the granules and amylose gels become tender again.
One thing though I believe in strongly: our salty Indian butter is really ideal for making rich, tasty buttered toast.
With so many complications it can be a headache to do at home, and this is why I’ve always valued the buttered toast in clubs.",https://economictimes.indiatimes.com/blogs/onmyplate/utterly-butterly-blissful1/,https://economictimes.indiatimes.com/blogs/wp-content/uploads/auth-et/eece4792-f828-4d22-ad9b-d72b0254f472
,,,,,,,https://economictimes.indiatimes.com/small-biz/startups/deepak-parekh-nandan-nilekani-back-iim-graduates-idea-for-startups/articleshow/49616755.cms,
,,,,,,,https://economictimes.indiatimes.com/magazines/corporate-dossier/drinks-etiquette/articleshow/3529184.cms,
Eddie Fisher - The Many Marriages of Elizabeth Taylor: Everything You Wanted To Know About Her Seven Husbands,"Wedded from 1959-1964 Fisher was a singer and was Taylor's late husband, Michael Todd's, best friend. It is speculated that the couple began an affair during the tumultuous time after Todd's sudden demise. Fisher was then married to actress Debbie Reynolds and the media labelled Taylor a 'home wrecker'. In subsequent interviews, Taylor said she married Fisher only due to grief over Todd's death. Reynolds and Taylor were friends since their teens and Reynolds was Taylor's matron of honour at her wedding to Todd. (Image: www.imdb.com) Eddie Fisher",[],None,"Never miss a great news story!

Get instant notifications from Economic Times

AllowNot now

You can switch off notifications anytime using browser settings.","['eddie', 'fisher', 'wanted', 'switch', 'know', 'timesallownot', 'storyget', 'notifications', 'great', 'husbands', 'seven', 'using', 'instant', 'miss', 'taylor', 'settings', 'marriages', 'nowyou', 'elizabeth']","Never miss a great news story!
Get instant notifications from Economic TimesAllowNot nowYou can switch off notifications anytime using browser settings.",https://economictimes.indiatimes.com/magazines/panache/the-many-marriages-of-elizabeth-taylor-everything-you-wanted-to-know-about-her-seven-husbands/eddie-fisher/slideshow/60070467.cms,"https://img.etimg.com/thumb/msid-60070468,width-1070,height-580,overlay-etpanache/photo.jpg"
