Headline,Authors,Main_Image,Published_Date,News,Source_urls
"Alcoholic fatty liver disease does more harm than you know, may up cancer risk",[],"https://img.etimg.com/thumb/msid-68774168,width-1070,height-580,imgsize-658034,overlay-etpanache/photo.jpg",2019-04-08T15:34:00,"Scientists have not been able to understand why the cancer risk is higher for fatty liver disease caused by excessive alcohol consumption.Preventing Cancer: Daily Exercise, Veggies, No-Smoking of 9 Next PrevPlay Slideshow Prevent The Big C 26 Feb, 2019 A study by the National Institute of Cancer Prevention and Research on Cancer shows that 11,57,294 lakh new cases are registered in India every year, and 7,84,821 people succumbed to the disease in 2018.Here are certain lifestyle changes that can keep cancer away. A study by the National Institute of Cancer Prevention and Research on Cancer shows that 11,57,294 lakh new cases are registered in India every year, and 7,84,821 people succumbed to the disease in 2018.Here are certain lifestyle changes that can keep cancer away. Weight Management 26 Feb, 2019 Being overweight and obese raise risk for breast, colorectal, oesophageal, uterine, pancreatic and kidney cancers. It is important to manage your weight. Be as lean as possible without becoming underweight. It is essential to be physically active. Workout for at least 30 minutes every day to stay fit. Being overweight and obese raise risk for breast, colorectal, oesophageal, uterine, pancreatic and kidney cancers. It is important to manage your weight. Be as lean as possible without becoming underweight. It is essential to be physically active. Workout for at least 30 minutes every day to stay fit. Say No To Sugar 26 Feb, 2019 Avoid sugary drinks as much as possible. Limit consumption of high-calorie and salty foods. Also stay away from food items processed with salt. Avoid sugary drinks as much as possible. Limit consumption of high-calorie and salty foods. Also stay away from food items processed with salt. Quit Smoking 26 Feb, 2019 Smoking remains the largest preventable cause of throat and lung cancers in the world. Avoid smoking and second-hand smoking. Smoking remains the largest preventable cause of throat and lung cancers in the world. Avoid smoking and second-hand smoking. Limit Alcohol Consumption 26 Feb, 2019 Alcohol consumption plays an important role in getting various cancer types. Risk of breast cancer is also increased by alcohol — the more you drink, the more likely you get the disease. It is also strongly linked to mouth and upper throat cancers. If you drink alcohol, limit your daily intake. Alcohol consumption plays an important role in getting various cancer types. Risk of breast cancer is also increased by alcohol — the more you drink, the more likely you get the disease. It is also strongly linked to mouth and upper throat cancers. If you drink alcohol, limit your daily intake. NextWASHINGTON DC: In a new study, researchers have discovered important differences in the biological pathways that lead to cancer for alcoholic fatty liver disease compared to a non-alcoholic fatty liver disease The findings of the study presented at the Experimental Biology meeting 2019, could benefit more than 3 million people diagnosed with fatty liver disease each year.The build-up of fat in the liver known as fatty liver disease sometimes leads to hard-to-treat liver cancer Scientists have not been able to understand why the cancer risk is higher for fatty liver disease caused by excessive alcohol consumption than for non-alcoholic fatty liver disease, which is associated with obesity and type 2 diabetes.""We want to find out the key factors and pathways that lead to liver cancer in fatty liver patients so we can slow or even prevent the liver cancer. It is estimated that this type of liver cancer is responsible for 250,000 to 1 million deaths each year,"" said Yue Jia, who conducted the study.In the study, the researchers examined expression levels of proteins in liver biopsies from a group of patients with alcoholic fatty liver disease and a group with non-alcoholic fatty liver disease.The proteins studied are involved in epigenetic regulation, which controls gene expression, and inflammation, which plays an important role in the disease.The researchers observed that the two groups of patients showed significant differences in the expression of proteins involved in epigenetic regulators and inflammation.Importantly, these differences matched the ratio of liver cancer development seen for the two groups.""If through additional studies, we can prove that the molecules and pathways we identified modulate liver cancer development in the alcoholic fatty liver disease or non-alcoholic fatty liver disease patients, it may help identify new targets for preventing or reducing the risk of liver cancer that arises from other liver diseases,"" said Jia.The researchers plan to perform additional experiments in animal models of fatty liver disease to learn more about how epigenetic regulation and inflammation pathways lead to liver cancer.",https://economictimes.indiatimes.com/magazines/panache/alcoholic-fatty-liver-disease-does-more-harm-than-you-know-may-up-cancer-risk/articleshow/68774062.cms
Virtual trolls may not stay anonymous for long,['Anandita Singh Mankotia'],"https://img.etimg.com/thumb/msid-68731873,width-1070,height-580,imgsize-428059,overlay-economictimes/photo.jpg",2019-04-05T07:53:00,"The government is looking at ways to curb trolls on social media platforms such as Twitter , including mandatory verification of accounts by linking them to mobile phone numbers or official IDs, senior officials said. This will apply both to existing as well as new users.“The general perception is that I can remain anonymous in the internet space and say and do things without any fear,” an official told ET. “However, we need to maintain the balance between an individual’s need for privacy while ensuring we don’t encourage negative things on the internet.”Trolls and propagators of fake news operate with impunity because of their anonymity.“(There is need for) Some sort of mandatory verification, such as linking accounts to mobile phones and hence verification through a one-time password, like Twitter is already offering to users, or linking it to Aadhaar, the passport or any new foolproof methodology — (it’s) completely up to the intermediary (to decide),” said a second official.A Twitter account can be opened with a mobile phone number or an email ID. But fake email IDs can be set up to open an account, which means it’s not an infallible verification mechanism, the person said.The government wants to balance the need to uphold privacy while ensuring accountability.“This doesn’t mean my name or picture has to necessarily be linked to my account,” said one of the persons. “These details needn’t pop up each time with my account, but there should be some way for law enforcement agencies or at least for the platform to verify that I am who I claim to be.” To safeguard privacy, the data will stay with the intermediary, and law enforcement agencies will seek account details only when a cybercrime takes place or if there is a complaint of harassment.The officials said account verification won’t be part of the intermediary guidelines that the government aims to issue later this year. These guidelines seek to tighten accountability rules for social media apps through proposed measures such as penalties and jail terms for company executives for violations, ET had reprted last month.The guidelines are likely to include traceability of messages to pinpoint their origin, and securing consent of users before they are added to chat groups. WhatsApp introduced a new privacy feature on Wednesday that will require a user’s assent before he is added to a chat group — a step that aligns with the latter requirement. Mandatory verification will help check unacceptable behaviour and “deter needless trolling”, said the first official.Asked whether Twitter would be open to following a mandatory verification process for all its users, the company referred ET to its blogpost which said its public verification process was currently closed.“With the upcoming elections, we are working with Indian political parties to verify candidates, elected officials, and relevant party officials whose accounts will be active in the public conversation,” Twitter said. “To be clear, the parties themselves select the accounts for verification and then we review these accounts to ensure they meet our verification standards.” Twitter said the idea was to verify the accounts to empower a healthy engagement during elections and ensure that public figures are indeed who they claim to be.",https://economictimes.indiatimes.com/news/politics-and-nation/virtual-trolls-may-not-stay-anonymous-for-long/articleshow/68731808.cms
Alcoholic beverage makers to seek approvals for new labelling norms: FSSAI,[],"https://img.etimg.com/thumb/msid-68724774,width-1070,height-580,imgsize-11044,overlay-economictimes/photo.jpg",2019-04-04T18:19:00,"NEW DELHI: Alcoholic beverage makers will seek approvals from excise commissioners to adopt new labelling norms, including statutory warnings on liquor bottles, food regulator FSSAI CEO Pawan Kumar Agarwal said Thursday.He hoped that the new set of labelling norms would be fully in place in six months.The Food Safety and Standards Authority of India (FSSAI) had last year issued a regulation on alcoholic beverages and the same became effective from April 1.As per this regulation, all liquor bottles need to carry a statutory warning that ""consumption of alcohol is injurious to health. Be safe-dont drink and drive"".The FSSAI has given six months to the manufacturer for use of unused labels and printed cans. Moreover, alcoholics beverages manufactured prior to April 1, 2019, can be sold in the market up to March 31, 2020.""I think for alcoholic beverages sector, the implementation of these standards is a significant way forward in order to improve the quality and standards of alcoholic beverages available in the country,"" Agarwal told reporters on the sidelines of a conference.""So far, it was primarily regulated by excise commissioners and they were only looking at alcoholic content and the toxic substances in alcohol. Now, there are far more elaborate standards that are benchmarked with the global standards and in certain cases, they have taken the Indian context also in consideration,"" he added.In addition to excise commissioners, the food safety commissioners would also look into the enforcement of these standards, Agarwal said.On the labelling norms, the FSSAI's CEO said the new labels including statutory warning would be fully effective from October 1.Alcohol makers would take approvals of excise commissioners for changes of labels, he said.""We are not changing norms for languages as it is a sensitive issue as in many states they do it in English and in other states, they do it in English as well as local languages,"" Agarwal said.The FSSAI's chief was speaking to reporters after launching EAT-Lancet Commission report 'Food Planet Health' in India. This report was released globally in January.The report, for the first time ever, proposes scientific targets for what constitutes a healthy diet derived from a sustainable food system, the FSSAI said.Based on the findings of this report, Agarwal said the government would bring a region-specific dietary guidelines to help people in leading a healthy life.",https://economictimes.indiatimes.com/industry/cons-products/liquor/alcoholic-beverage-makers-to-seek-approvals-for-new-labelling-norms-fssai/articleshow/68724778.cms
Lok Sabha polls: Delhi excise department forms teams to check use of alcohol to influence voters,[],"https://img.etimg.com/thumb/msid-68654541,width-1070,height-580,imgsize-574724,overlay-economictimes/photo.jpg",2019-03-31T12:50:00,"The Delhi excise department has constituted various teams comprising 44 officials at district level to monitor recordings of CCTV cameras installed at liquor shops , an official said. The move is aimed at curbing use of alcohol to influence voters in the run up to Lok Sabha polls Delhi goes to polls on May 12.Recently, the department had warned shops against selling liquor on the basis of ""coupon or token"", and directed them to strictly follow opening and closing time of their establishments The official said excise department has constituted a four-member team each in all 11 district each, assigning them to monitor footage of CCTV cameras installed at retail shops on a regular basis.""The first member of each district will obtain the list of retail vends of their concerned district...and allocate shops to each member of the team for viewing of CCTV recordings till completion of the election process,"" Deputy Excise Commissioner Sandeep Mishra said in his written communication to officials.Mishra said inspecting officials have been directed to inform the critical events to senior officers of the department and take necessary action as per laid down rules.There are 11 districts - central, north-east, new Delhi, south, north, north-west, south-west, south-east and Shahdar - in the national capital.Over the last few days, the excise department has issued a number of directions as part of its measures to curb distribution of alcohol to influence voters during elections in Delhi.Among the other directions issued to liquor shops is to direct these establishment that sale should be done only through scanner, and non-compliance of the order will attract strict action.Also, it had also issued another order, asking its officials to monitor at least 15-minute recording of CCTV cameras installed at liquor warehouses, on a daily basis.",https://economictimes.indiatimes.com/news/elections/lok-sabha/india/lok-sabha-polls-delhi-excise-department-forms-teams-to-check-use-of-alcohol-to-influence-voters/articleshow/68654501.cms
"We opposed anonymous electoral bonds, you take call now: EC tells SC",['Samanwaya Rautray'],"https://img.etimg.com/thumb/msid-68606731,width-1070,height-580,imgsize-616172,overlay-economictimes/photo.jpg",2019-03-28T07:26:00,"New Delhi: The Election Commission has told the Supreme Court that it had in 2017 conveyed to the law ministry its opposition to anonymous electoral bonds , but left it to the court to take a final call on its legality. The commission stated this in an affidavit, after the Supreme Court asked it to unequivocally state its stand on the anonymous nature of the bonds.The EC said it had raised its reservations as part of a 22-step reform package and another 47-step proposal. The commission, however, said it would rather not take a stand on the merits of the provisions in this case.NGO ADR (Association for Democratic Reforms), through activist lawyer Prashant Bhushan, had challenged several provisions in the law, including the ones that have done away with a cap on corporate funding through electoral bonds and allowed foreign funding. All these, the PIL petitioners argued, would adversely affect transparency in political funding and sought court intervention to ensure that these were done away with in larger public interest.According to Bhushan, data showed that 90% of the funds had gone to one party, that is the ruling party. He had also claimed that the anonymity of these bonds encouraged black money and money laundering. A bench led by Chief Justice Ranjan Gogoi is hearing the petition. The EC had also said this earlier. But it filed another affidavit throwing further light on its opposition to anonymous bonds and also removal of a provision that allowed only profitable companies to fund poll expenses.The commission pointed out to the court that it had urged the government to change the law to ensure greater accountability over party funding and expenses, but there was no political consensus on this.Almost all political parties are opposed to opening their accounts for audit, or their political funding public right down to the last penny. As per existing law, parties can accept only up to Rs 2,000 in cash; anything more than that must be through formal banking channels. However, they need not keep details of all anonymous donations through electoral bonds up to Rs 20,000.Parties have been claiming that they get a lion’s share of their funding through these anonymous bonds.",https://economictimes.indiatimes.com/news/politics-and-nation/we-opposed-anonymous-electoral-bonds-you-take-call-now-ec-tells-sc/articleshow/68606723.cms
Body basic: Alcohol doesn't go down well with women,['Malathy Iyer'],"https://img.etimg.com/thumb/msid-47663858,width-1070,height-580,imgsize-250673,overlay-etpanache/photo.jpg",2015-06-14T14:50:00,"MUMBAI: The gender gap in the world of tipplers is fast shrinking. Recent studies show that more female students than males in Spain are likely to binge-drink, and the percentage of women arrested for drunk driving increased by 30% within a decade in the US.In India, in the absence of any study or statistics, accidents like the one caused by Chembur corporate lawyer Janhvi Gadkar prove that drinking is losing its once-males-only character. S K Bhalla, chairman of Alcoholics Anonymous, said, “If you go to a pub, the number of men and women there is almost equal nowadays. Moreover, there are more women coming to AA meetings, but, they worryingly drop out.”This brings to the fore a latent point: are women and alcohol an unhealthy mixture?On one hand, manufacturers are wooing Indian women with specially brewed concoctions, but on the other, there are more instances of more rehab centres coming up only for women. A projection by NGO India Centre for Alcohol Studies in 2013 said that while Indian women made up only 5% of the tipplers, the number is likely to increase by 25% in the next five years.Dr Atul Ambekar of the National Drug Dependence Treatment Centre of the All India Institute of Medical Sciences in Delhi, said, “We psychiatrists can gather from the number of women seeking treatment that the incidence of drinking among them has increased.”Experts are concerned about women’s newfound fondness for Bacchus for physiological reasons. “For some reasons, alcohol doesn’t metabolize as quickly for women as it does for men. Inebriation is hence quicker for women than for men,” said senior consultant Dr Hemant Thacker from Jaslok Hospital on Pedder Road.A study from Notre Dame University in the US holds the lower volume of body water in women (as compared to men) responsible for intoxication. Experts say that if a man and woman of the same weight were to drink an equal amount of alcohol, the woman will have a higher alcohol concentration in her blood. A doctor said that women have lower levels of enzyme dehydrogenase that is needed to digest alcohol in the stomach.On more and more women taking to alcohol, city psychiatrist Dr Harish Shetty said, “Globalization has ensured that gender is not an issue as far as drinking is concerned. Previously, people on their way back home would go to the temple or a walk, but drinks are the new pastime for both working men and women.”Psychologist Mukta Puntambekar from Pune’s Muktangan Rehabilitation Centre said that women have a tendency to get carried away. “The transition from a social drinker to an addict is, as a result, faster for women than men,” she said. A telling commentary is the fact that Muktangan had to set up a rehab centre specially for women after it started getting more enquiries from them. “We have a 15-bed facility that is always booked. We have treated 700 women so far in the 15-to-75 age group,” she added.The reason young professionals drink, say doctors, is the thrill factor. “Many young professionals who seek help for alcoholism tell us that they like to drink and drive because they then feel they are literally flying. A sedan seems like an F18 jet and they feel immortal and powerful,” added Dr Shetty.",https://economictimes.indiatimes.com/magazines/panache/Body-basic-Alcohol-doesnt-go-down-well-with-women/articleshow/47663852.cms
Bihar alcohol ban may be limited to country-made liquor,['Sanjay Ojha'],"https://img.etimg.com/thumb/msid-50038493,width-1070,height-580,imgsize-216183,overlay-economictimes/photo.jpg",2015-12-04T11:00:00,"PATNA: Bihar chief minister Nitish Kumar may have seemed to suggest a complete ban on alcohol in the state from April 1 next year, but inquiries made to the revenue department officials suggest that considering a revenue deficit of Rs 5,500 cr that this will cause on the cash-strapped state, the ban will have to be limited to country-made liquor A reputed IMFL company official said the ban would be staggered at the very least. To substantiate his claim, he quoted Nitish as having said in his November 26 speech that ""affluent people know the side effects of alcohol, but people from weaker sections are unaware and they become even violent under the influence of liquor"".This, the official said, was a deliberately vague remark, leaving enough elbow room for the government to water down prohibition should economic advice suggest moderation.""Ban on country-made liquor will be effected first, and IMFL, if it's economically feasible, later,"" a revenue and excise department official told TOI on condition of anonymity.While excise from IMFL is Rs 2,500 crore and VAT Rs 1,000 cr, excise from country-made liquor is to the tune of Rs 1,500 crore. The total excise revenue is around Rs 4,000 crore and total VAT Rs 1,500 crore.Social scientist and researcher Rajesh Singh expressed similar views, pointing out that the state would need Rs 2.7 lakh crore over the next five years to implement the election promises made by the CM.""At least 100 to 120 crore bottles of country liquor are sold in the state every year with a good number of its consumers addicted to it. They will instantly develop health problems if they stop consuming liquor all of a sudden,"" Singh, who works among people suffering from alcohol abuse in Bihar and Jharkhand, said, adding that the ban, when it's implemented, will have to be partial.An excise official supported exemption on IMFL as it contributes to over two-thirds of revenue generation to the state's exchequer, although it accounts for only one-third of total liquor consumption in the state.Quoting the findings of Edelweiss Securities Ltd, the official said the firm has highlighted a few points on the proposed prohibition in Bihar.""Bihar is a small contributor to overall domestic IMFL sales though the sale of toddy and country liquor in the state is significant. At least 8 per cent of India's population which have low per capita income reside in Bihar, impacting the sale of country liquor more. There is thus every possibility that smuggling from neighbouring states would increase once the ban is effected,"" the official said, pointing out the state shares borders with Nepal, Jharkhand, Uttar Pradesh and West Bengal where liquor is not banned.""We can't even rule out the possibility of large-scale sale of spurious liquor and resultant casualties,"" the official said and hastened to add, however, that the bureaucracy and police are there to implement the order.Excise minister Abdul Jalil Mastan, however, maintained that the ban will be total. But his detractors said prohibition will also create livelihood loss of over 25,000 people directly involved in the business, and perhaps an equal number indirectly.Mastan said, ""If there will be ban, it will be complete and we will not tolerate its violation.""",https://economictimes.indiatimes.com/news/politics-and-nation/Bihar-alcohol-ban-may-be-limited-to-country-made-liquor/articleshow/50038470.cms
India and EU to look at ways to restart free trade pact talks,[],"https://img.etimg.com/thumb/msid-61075098,width-1070,height-580,imgsize-90953,overlay-economictimes/photo.jpg",2017-10-14T01:14:00,"NEW DELHI: India and the European Union plan to take stock of the proposed free trade agreement negotiations next month and explore ways to put in place a framework to resume the stalled talks. A delegation comprising senior EU officials is visiting Delhi in November to reassess the talks and decide further course of action, an official said.“The EU delegation will see if the talks can continue at all and if yes, then from where to pick up,” said the official, who did not wish to be identified. India and the EU have been in talks on what is officially known as the Broadbased Investment and Trade Agreement since 2007.The talks have been stalled due to a plethora of reasons, beginning with a prolonged recession in the EU, its focus on concluding the Transatlantic Trade and Investment Partnership agreement with the US and then its move of banning 700 generic drugs tested in India. The Brexit dealt yet another blow to the talks.“With the UK out of the EU, Germany is expected to take the lead in the negotiations,” a Delhi-based expert on trade matters said on condition of anonymity. “So, there will be less aggression on services as this was the UK’s long-standing demand. But automobiles may become an important agenda.”The talks have also been stuck for four years on slashing of import duty on European cars and alcohol by India and recognising India as a ‘data-secure’ nation to enable free flow of data between India and the EU. While Germany is keen on automobiles, France wants lower import tariffs on wines.India’s concerns over the lack of access for Indian professionals to the EU’s labour market also contributed to slowing of the pace of negotiations.",https://economictimes.indiatimes.com/news/economy/foreign-trade/india-and-eu-to-look-at-ways-to-restart-free-trade-pact-talks/articleshow/61075098.cms
,,,,,https://economictimes.indiatimes.com/news/international/world-news/more-allegations-emerge-on-va-pick-as-nomination-falters/articleshow/63918828.cms
Goa to ban drinking at few public places,[],"https://img.etimg.com/thumb/msid-54713105,width-1070,height-580,imgsize-105883,overlay-economictimes/photo.jpg",2016-10-06T13:12:00,"PANAJI: The Goa government will ban liquor consumption at a few spots like religious places with the state Excise Department likely to implement the ban from next month, officials said today.The government's move comes as part of its efforts to project the state as a ""family tourist destination"".""Excise department is in the process of implementing the recent amendment to State Excise Act which includes ban on drinking at some public spaces. The ban is most likely to come in force from mid-November this year,"" Superintendent of Excise Department, Satyawan Bhivshet said.He said the ban will curb the nuisance by tourists after consuming alcohol at some public places.The department will identify and notify the list of places which mostly will include religious structures and heritage spots.The Goa government in August this year had amended the Excise Duty Act, 1964, to make penal provisions for the people drinking in places identified as ' No Alcohol Consumption Zones '.The Act has specified penalty ranging from Rs 1,000 to Rs 10,000 for the violators.Another excise official, on condition of anonymity, said powers of the department in the Act are described and special squads are being put in place to crackdown on the violators drinking in such zones.Earlier, the government, while introducing the bill in the Assembly had said, ""The government is receiving a number of complaints of consumption of alcohol in open spaces, public spaces, beaches, public roads, state and national highways, mostly by visiting tourists.""Placed before the House by Chief Minister Laxmikant Parsekar , the bill further read, ""Upon consumption of liquor, the bottles and cans are strewn around causing environmental degradation. Such persons after being in an inebriated state cause nuisance to general public, disturb the peaceful order in the area and cause local tension thereby posing law and order situation on a regular basis.""",https://economictimes.indiatimes.com/news/politics-and-nation/Goa-to-ban-drinking-at-few-public-places/articleshow/54712895.cms
